ID,reviewer,summarized_by,connectivity_categorical,connectivity_quanitative,season_month,year,mean_chl,min_chl,max_chl,error_chl,error_type,sample_size,units,notes
r3_05,MB,S-19-F,connected,NA,"spring, summer, fall, winter","1996, 1997",25,4.6,63,NA,NA,53,ug/L,median chl = 24; perennially connected to river
r3_13,MB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chlorophyll data not reported in paper, but available in data publication; text states ""lakes outside the permafrost region had generally higher pH and higher concentrations of other ions, nutrients, and chlorophyll-a"""
r3_23,MB,Oxbow Cooley,,NA,disconnected,"1994, 1995, 1996",48,3,847,NA,NA,NA,ug/L,
r3_23,MB,Oxbow Dalton,,NA,disconnected,"1994, 1995, 1996",37,8,224,NA,NA,NA,ug/L,
r3_23,MB,Oxbow Sunshine,,NA,disconnected,"1994, 1995, 1996",67,25,256,NA,NA,NA,ug/L,
r3_23,MB,Oxbow Teteseau,,NA,disconnected,"1994, 1995, 1996",64,4,277,NA,NA,NA,ug/L,
r3_23,MB,Protected Scour RK 512,,NA,disconnected,"1994, 1995, 1996",25,8,61,NA,NA,NA,ug/L,
r3_23,MB,Protected Scour RK 528,,NA,disconnected,"1994, 1995, 1996",25,12,55,NA,NA,NA,ug/L,
r3_23,MB,Protected Scour RK 330,,NA,disconnected,"1994, 1995, 1996",29,10,60,NA,NA,NA,ug/L,
r3_23,MB,Connected Scour RK 304,,NA,connected,"1994, 1995, 1996",22,4,81,NA,NA,NA,ug/L,
r3_23,MB,Connected Scour RK 398,,NA,connected,"1994, 1995, 1996",31,4,177,NA,NA,NA,ug/L,
r3_23,MB,Connected Scour RK 346,,NA,connected,"1994, 1995, 1996",21,7,689,NA,NA,NA,ug/L,
r3_23,MB,Connected Scour RK 351,,NA,connected,"1994, 1995, 1996",20,8,139,NA,NA,NA,ug/L,
r3_23,MB,Connected Scour RK 386,,NA,connected,"1994, 1995, 1996",23,6,126,NA,NA,NA,ug/L,
r3_23,MB,Missouri River,,NA,connected,"1994, 1995, 1996",20,6,45,NA,NA,NA,ug/L,
