"","title","authors","pub_year","volume","ID","result_DC","result_MB","result_PG","result_LY","result_CP","result_ES","result_RP"
"11","biological responses to recent eutrophication and hydrologic changes in xingyun lake, southwest china","Liu, Yuanyuan;Chen, Guangjie;Hu, Kui;Shi, Haibin;Huang Linpei;Chen, Xiaolin;Lu Huibin;Zhao Shuaiying;Chen, Li",2017,57,11,NA,NA,NA,NA,"y",NA,NA
"12","changing characteristics and driving factors of trophic state of lakes in the middle and lower reaches of yangtze river in the past 30 years","Zhu Guangwei; Xu Hai; Zhu Mengyuan; Zou Wei; Guo Chaoxuan; Ji Pengfei; Da Wenye; Zhou Yongqiang; Zhang Yunlin; Qin Boqiang",2019,31,12,NA,NA,NA,"n",NA,NA,NA
"13","circulation patterns of biogenic ions in young glacial areas","Pietruszyński, Łukasz;Cieśliński, Roman",2021,193,13,NA,NA,NA,NA,"y",NA,NA
"14","complex hydroperiod induced carryover responses for survival, growth, and endurance of a pond-breeding amphibian","Thompson, Cassandra M;Popescu, Viorel D",2021,195,14,NA,NA,"y",NA,NA,NA,NA
"15","concerns about phytoplankton bloom trends in global lakes","Feng, Lian;Dai, Yanhui;Hou, Xuejiao;Xu, Yang;Liu, Junguo;Zheng, Chunmiao",2021,590,15,NA,"n",NA,NA,NA,NA,NA
"16","connectivity and habitat typology drive co2 and ch4 fluxes across land-water interfaces in lowland rivers","Bolpagni, Rossano; Laini, Alex; Mutti, Tiziana; Viaroli, Pierluigi; Bartoli, Marco",2019,12,16,NA,NA,"y",NA,NA,"n",NA
"18","contrasts between channels and backwaters in a large, floodplain river: testing our understanding of nutrient cycling, phytoplankton abundance, and suspended solids dynamics","Houser, Jeffrey N.",2016,35,17,NA,NA,"y",NA,NA,NA,NA
"19","correlates of zooplankton beta diversity in tropical lake systems","Lopes, Paloma M.; Bini, Luis M.; Declerck, Steven A. J.; Farjalla, Vinicius F.; Vieira, Ludgero C. G.; Bonecker, Claudia C.; Lansac-Toha, Fabio A.; Esteves, Francisco A.; Bozelli, Reinaldo L.",2014,9,18,NA,NA,NA,NA,"y",NA,NA
"20","do environmental variables predict the trophic structure of fish fauna in a subtropical river (uruguay river ecoregion)?","Neves, Mayara P;Baumgartner, Dirceu;Baumgartner, Gilmar;Delariva, Rosilene L",2018,77,19,"y","y",NA,NA,NA,NA,NA
"21","effects of flow variation on channel and floodplain biota and habitats of the sacramento river, california, usa","Sommer, Ted R.; Harrell, William C.; Solger, Anke Mueller; Tom, Brad; Kimmerer, Wim",2004,14,20,NA,NA,NA,NA,"y",NA,NA
"22","effects of lake-basin morphological and hydrological characteristics on the eutrophication of shallow lakes in eastern china","Huang, Jian;Xu, Qiujin;Beidou Xi;Wang, Xixi;Jia, Keli;Huo, Shouliang;Su, Jing;Zhang, Ting;Li, Caole",2014,40,21,NA,NA,NA,"y",NA,NA,NA
"23","factors influencing algal biomass in intermittently connected, subtropical coastal ponds","Miller, Carrie J;Davis, Stephen E;Roelke, Daniel L;Li, Hsiu-Ping;Driffill, Matthew J",2009,29,22,NA,NA,NA,NA,NA,NA,"y"
"24","fish assemblages of tropical floodplain lagoons: exploring the role of connectivity in a dry year","Petry, Ana Cristina; Agostinho, Angelo Antonio; Gomes, Luiz Carlos",2003,1,23,"y",NA,NA,NA,NA,NA,NA
"25","floodplain lake assessment and fish assemblage dynamics in the mississippi alluvial valley (mississippi alluvial valley)","Steiner Andrews, Caroline Noelle",2013,52,24,NA,NA,NA,NA,NA,"y",NA
"26","floods increase similarity among aquatic habitats in river-floodplain systems","Thomaz, Sidinei M;Bini, Luis Mauricio;Bozelli, Reinaldo Luiz",2007,579,25,"y",NA,NA,NA,NA,NA,NA
"27","freshwater inflow and responses from estuaries across a climatic gradient: an assessment of northwestern gulf of mexico estuaries based on stable isotopes","Marshall, Danielle A.; La Peyre, Megan K.; Palmer, Terence A.; Guillou, Gael; Sterba-Boatwright, Blair D.; Pollack, Jennifer Beseres; Lebreton, Benoit",2021,66,26,NA,NA,NA,"n",NA,NA,NA
"28","functional indicators of stream health: a river-basin approach","FEIO, MJ;Alves, T;BOAVIDA, M;Medeiros, A;Graca, Mas",2010,55,27,NA,NA,"y","y",NA,NA,NA
"29","granal stacking of thylakoid membranes in higher plant chloroplasts: the physicochemical forces at work and the functional consequences that ensue","Chow, Wah Soon; Kim, Eun-Ha; Horton, Peter; Anderson, Jan M.",2005,4,28,NA,"n",NA,NA,NA,NA,NA
"30","greenhouse gas emissions from lakes along a permafrost gradient in western canada; climate feedback dominated by methane","Kuhn, M A A;Thompson, L;Olefeldt, D;Anonymous",2020,2020,29,NA,NA,NA,"n",NA,NA,NA
"31","hydrologic controls on the trophic status of shallow lakes on the boreal plain","Sass, Gabor Z",2006,68,30,NA,NA,NA,NA,NA,"n","y"
"32","hydrologic variability, water chemistry, and phytoplankton biomass in a large floodplain of the sacramento river, ca, u.s.a","Schemel, Laurence Edward; Sommer, Ted R.; Muller-Solger, Anke B.; Harrell, William C.",2004,513,31,"y",NA,NA,NA,NA,NA,NA
"33","hydrological connectivity and basin morphometry influence seasonal water-chemistry variations in tundra ponds of the northwestern hudson bay lowlands","White, Jerry;Hall, Roland I;Wolfe, Brent B;Light, Erin M;Macrae, Merrin L;Fishback, LeeAnn;Keller, Wendel;Paterson, Andrew M;Ruehland, Kathleen M;Blais, Jules M",2014,46,32,NA,NA,"y",NA,NA,"y",NA
"34","hydrological connectivity and flood pulses as the central aspects for the integrity of a river-floodplain system","Heiler, G;Hein, T;Schiemer, F;Bornette, G",1995,11,33,NA,NA,NA,"y",NA,NA,NA
"35","hydrological connectivity as most probable key driver of chlorophyll and nutrients in oxbow lakes of the bug river (poland)","Kufel, Lech;Szymon Leśniczuk",2014,46,34,"y",NA,NA,NA,NA,NA,NA
"36","hydrological connectivity, and the exchange of organic matter and nutrients in a dynamic river-floodplain system (danube, austria)","Tockner, K;Pennetzdorfer, D;Reiner, N;Schiemer, F;Ward, J V",1999,41,35,"y","y",NA,NA,NA,NA,NA
"37","hydrological pulse regulating the bacterial heterotrophic metabolism between amazonian mainstems and floodplain lakes","Vidal, Luciana O;Abril, Gwenäel;Artigas, Luiz F;Melo, Michaela L;Bernardes, Marcelo C;Lobão, Lúcia M;Reis, Mariana C;Moreira-Turcq, Patrícia;Benedetti, Marc;Tornisielo, Valdemar L;Roland, Fabio",2015,6,36,NA,"y",NA,NA,NA,NA,"y"
"38","hydrological seasonality and benthic algal biomass in a neotropical floodplain river","Montoya, J V;Roelke, D L;Winemiller, KO;Cotner, J B;Snider, JA",2006,NA,37,NA,NA,"y",NA,NA,NA,NA
"39","hydrological seasonality and spatio-temporal dynamics of physico-chemical variables of a tropical floodplain river","Montoya, Jose V.; Roelke, Daniel L.; Winemiller, Kirk O.; Cotner, James",2004,89,38,"y","y",NA,NA,NA,NA,NA
"41","immigration and early life stages recruitment of the european flounder (platichthys flesus) to an estuarine nursery: the influence of environmental factors","Amorim, Eva;Bordalo, Adriano A;Elliott, Michael;Ramos, Sandra",2016,107,39,NA,NA,"n",NA,NA,NA,NA
"42","influence of a drought event on hydrological characteristics of a small estuary on the amazon mangrove coast","Carneiro Pereira, Luci Cajueiro; Rodrigues da Costa, Adila Kelly; da Costa, Rauquirio Marinho; Magalhaes, Andre; Flores-Montes, Manuel de Jesus; Jimenez, Jose A.",2018,41,40,NA,NA,NA,NA,NA,"y",NA
"43","influence of hydrological connectivity on winter limnology in floodplain lakes of the saskatchewan river delta, saskatchewan","MacKinnon, Brett D.; Sagin, Jay; Baulch, Helen M.; Lindenschmidt, Karl-Erich; Jardine, Timothy D.",2016,73,41,NA,NA,NA,"y","y",NA,NA
"44","influence of hydrological heterogeneity on rotifer community structure in three different water bodies in shantou area, guangdong (china)","Liang, Diwen; Wei, Nan; Wang, Qing; Jersabek, Christian D.; He, Xuejia; Yang, Yufeng",2019,58,42,NA,NA,"y",NA,NA,NA,NA
"45","intra-annual variation of chlorophyll-a and nutrients in a hydraulically perturbed river-floodplain system in the grijalva river basin","Cruz-Ramirez, Allan K.; Angel Salcedo, Miguel; Sanchez, Alberto J.; de Dios Mendoza, Juan; Barba, Everardo; Alvarez-Pliego, Nicolas; Florido, Rosa",2019,29,43,NA,NA,"y",NA,NA,NA,NA
"46","lake age and water level affect the turbidity of floodplain lakes along the lower rhine","Roozen, F. C. J. M.; Van Geest, G. J.; Ibelings, B. W.; Roijackers, R.; Scheffer, M.; Buijse, A. D.",2003,48,44,NA,NA,NA,NA,"y",NA,NA
"47","land-sea connectivity, ecohydrology and holistic management of the great barrier reef and its catchments: time for a change","Waterhouse, Jane; Brodie, Jon; Lewis, Stephen; Audas, Donna-marie",2016,16,45,"n",NA,NA,NA,"n",NA,NA
"48","lateral mobility of the light harvesting complex in chloroplast membranes controls excitation energy distribution in higher plants","KYLE D J; STAEHELIN L A; ARNTZEN C J",1983,222,46,NA,NA,NA,NA,NA,"n",NA
"49","metal pollution in the pearl river estuary and implications for estuary management: the influence of hydrological connectivity associated with estuarine mixing","Niu, Lixia; Cai, Huayang; Jia, Liangwen; Luo, Xiangxin; Tao, Wei; Dong, Yanhong; Yang, Qingshu",2021,225,47,NA,NA,NA,"y",NA,NA,NA
"50","microcrustacean (cladocera, copepoda, ostracoda) diversity in three side arms in the gemenc floodplain (danube river, hungary) in different hydrological situations","Kiss, Anita; Agoston-Szabo, Edit; Dinka, Maria; Schoell, Karoly; Berczik, Arpad",2014,NA,48,"y","y",NA,NA,NA,NA,NA
"51","patterns of fish communities and water quality in impounded lakes of china's south-to-north water diversion project","Guo, Chuanbo;Chen, Yushun;Gozlan, Rodolphe E;Liu, Han;Lu, Ying;Qu, Xiao;Wang, Lizhu;Xia, Wentong;Xie, Songguang;Xiong, Fangyuan",2020,713,49,NA,NA,"y",NA,NA,NA,NA
"52","periphyton response to simulated nonpoint source pollution: local over regional control","Steinman, Alan D.; Ogdahl, Mary E.; Wessell, Kelly; Biddanda, Bopi; Kendall, Scott; Nold, Stephen",2011,45,50,NA,NA,NA,NA,NA,NA,"y"
"53","phytoplankton dynamics in the congo river","Descy, Jean-Pierre;Darchambeau, François;Lambert, Thibault;Stoyneva-Gaertner, Maya P;Bouillon, Steven;Borges, Alberto V",2017,62,51,"y",NA,NA,NA,"y",NA,NA
"54","role of lhcii-containing macrodomains in the structure, function and dynamics of grana","Garab, G;Mustardy, L",1999,NA,52,NA,NA,NA,NA,"n",NA,NA
"55","rotifer abundance, biomass, and secondary production after the recovery of hydrologic connectivity between a river and two marginal lakes (sao paulo, brazil)","Casanova, Silvia Maria Caglierani;Panarelli, Eliana Aparecida;Henry, Raoul",2009,39,53,NA,NA,NA,NA,NA,"y",NA
"56","seasonal fluctuation of some limnological variables on a floodplain lake (patos lagoon) of the upper parana river, mato grosso do sul state, brazil","Rodrigues, Luzia Cleide; Train, Sueli; Roberto, Maria do Carmo; Pagioro, Thomaz Aurelio",2002,45,54,NA,NA,NA,"y","y",NA,NA
"57","seasonal variations in food web dynamics of floodplain lakes with contrasting hydrological connectivity in the southern gulf of mexico","Cazzanelli, Matteo;Soria-Barreto, Miriam;Castillo, María Mercedes;Rodiles-Hernández, Rocío",2021,848,55,NA,NA,NA,NA,NA,NA,"y"
"58","serial discontinuity along the descoberto river basin, central brazil","da Silva, WJ;Felisberto, SA;Fonseca, C P;das Gracas Machado de Souza, M",2010,22,56,"y",NA,NA,NA,NA,NA,NA
"59","shifts of environmental and phytoplankton variables in a regulated river: a spatial-driven analysis","Sabater-Liesa, Laia;Ginebreda, Antoni;Barceló, Damià",2018,642,57,NA,NA,NA,NA,NA,NA,"y"
"60","short-term succession of aquatic plant species richness along ecosystem productivity and dispersal gradients in shallow lakes","Arthaud, F;Vallod, D;Robin, J;Bornette, G;Wezel, A",2013,24,58,"y",NA,NA,NA,NA,NA,"y"
"61","so close, so far: differences in long-term chlorophyll a variability in three nearby estuarine-coastal stations","Abreu, Paulo Cesar;Marangoni, Juliano;Odebrecht, Clarisse",2017,13,59,NA,NA,NA,"n",NA,NA,NA
"62","spatial connectivity in a large river system: resolving the sources and fate of dissolved organic matter","Massicotte, Philippe;Frenette, Jean-Jacques",2011,21,60,NA,NA,"y","y",NA,NA,NA
"63","spatial distribution of nutrient limitation in the danube river floodplain in relation to hydrological connectivity","Persic, Vesna; Horvatic, Janja",2011,31,61,NA,"y",NA,NA,NA,NA,"y"
"64","spatial heterogeneity in trophic status of shallow lakes on the boreal plain: influence of hydrologic setting","Sass, G Z;Creed, I F;Devito, K J",2008,44,62,NA,NA,NA,NA,"y",NA,NA
"65","spatial variability of chlorophyll-a and abiotic variables in a river-floodplain system during different hydrological phases","Mayora, Gisela; Devercelli, Melina; Giri, Federico",2013,717,63,NA,NA,NA,NA,NA,NA,"y"
"66","spatial variability of zooplankton along a section of river sio under different habitat conditions","Gimbo, R",2009,NA,64,NA,"y",NA,NA,NA,NA,NA
"67","suspended sediment, nutrients, and chlorophyll in tropical floodplain lakes with different patterns of hydrological connectivity","Castillo, María M",2020,82,65,"y",NA,NA,NA,NA,NA,NA
"68","temporal coherence between lake and landscape primary productivity","Walter, Jonathan A;Fleck, Rachel;Kastens, Jude H;Pace, Michael L;Wilkinson, Grace M",2021,24,66,"y",NA,NA,NA,NA,NA,NA
"69","terrestrialization alters organic matter dynamics and habitat quality for freshwater mussels (unionoida) in floodplain backwaters","Negishi, Junjiro N.; Katsuki, Kotaro; Kume, Manabu; Nagayama, Shigeya; Kayaba, Yuichi",2014,59,67,NA,NA,NA,NA,NA,"n",NA
"70","the hydrochemical response of small and shallow floodplain water bodies to temporary surface water connections with the main river","Weigelhofer, Gabriele; Preiner, Stefan; Funk, Andrea; Bondar-Kunze, Elisabeth; Hein, Thomas",2015,60,68,NA,NA,NA,NA,NA,"y",NA
"71","the impact of inundation-isolation cycles on the culturable bacterioplankton in the danube river floodplain","Palijan, Goran; Bogut, Irella; Vidakovic, Jasna",2008,56,69,NA,NA,NA,NA,NA,"y",NA
"72","the lake-catchment (lakecat) dataset: characterizing landscape features for lake basins within the conterminous usa","Hill, Ryan A.; Weber, Marc H.; Debbout, Rick M.; Leibowitz, Scott G.; Olsen, Anthony R.",2018,37,70,NA,"y",NA,NA,"n",NA,NA
"73","the performance of ecological cage aquaculture of pejerrey odontesthes bonariensis in pampean lakes under two different hydrological scenarios","Javier R Garcia de Souza;Moreno, Vivian Yorojo;Sathicq, María B;Gómez, Nora;Sampietro, Susana;Donadelli, Jorge;Colautti, Darío C",2021,52,71,NA,"y",NA,NA,NA,NA,NA
"74","the role of hydrologic connectivity and spatial scale in measuring lake landscape position","Martin, Sherry L.; Soranno, Patricia A.",2004,89,72,NA,"n",NA,NA,NA,NA,NA
"75","the significance of side-arm connectivity for carbon dynamics of the river danube, austria","Preiner, S;Drozdowski, I;Schagerl, M;Schiemer, F;Hein, T",2008,53,73,NA,NA,NA,"y",NA,NA,NA
"76","the spatial ecology of phytoplankton blooms in uk canals","Kelly, Leah A.; Hassall, Christopher",2018,8,74,NA,NA,NA,"y",NA,NA,NA
"77","towards deconfounding hydrological and seasonal temperature variability in the determination of selected limnological variables of a temperate floodplain ecosystem","Palijan, Goran",2015,8,75,NA,NA,NA,NA,NA,NA,"y"
"78","transversal and lateral exciton energy transfer in grana thylakoids of spinach","Kirchhoff, H;Borinski, M;Lenhert, S;Chi, L;Büchel, C",2004,NA,76,NA,NA,NA,NA,NA,NA,"n"
"79","trophic state and water quality in the danube floodplain lake (kopacki rit nature park, croatia) in relation to hydrological connectivity","Persic, Vesna; Cerba, Dubravka; Bogut, Irella; Horvatic, Janja",2011,NA,77,NA,"y",NA,NA,NA,NA,"y"
"80","using stressor-response models to derive numeric nutrient criteria for lakes in the eastern plain ecoregion, china","Zhang, Yali;Huo, Shouliang;Ma, Chunzi;Xi, Beidou;Li, Xiang;Liu, Hongliang",2014,42,78,NA,NA,"y",NA,"y",NA,NA
"81","water level as the key controlling regulator associated with nutrient and gross primary productivity changes in a large floodplain-lake system (lake poyang), china","Wang, Shuoyue;Gao, Yang;Jia, Junjie;Kun, Sun;Lyu, Sidan;Li, Zhaoxi;Lu, Yao;Wen, Xuefa",2021,599,79,NA,NA,NA,NA,"y",NA,NA
