"","title","ID","qc_notes","Abstract","Authors","year","Database_unique","search","reviewer_name","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes","reason"
"56","effects of chloroplast–cytoplasm exchange and lateral mass transfer on slow induction of chlorophyll fluorescence in characeae","r3_07","","Rapid cytoplasmic streaming in characean algae mediates communications between remote cell regions exposed to uneven irradiance. The metabolites exported from brightly illuminated chloroplasts spread along the internode with the liquid flow and cause transient changes in chlorophyll fluorescence at cell areas that are exposed to dim light or placed shortly in darkness. The largest distance to which the photometabolites can be transported has not yet been determined. Neither is it known if lateral transport has an influence on the induction of chlorophyll fluorescence. In this study, the relations between spatial connectivity of anchored chloroplasts in characean internodes and fluorescence induction curves were examined. Connectivity between remote cell parts was pronounced upon illumination of a cell spot at a distance up to 10 mm from the area of fluorescence measurement, provided the spot was located upstream in the cytoplasmic flow. Spatial interactions between distant cell sites were also manifested in strikingly different slow stages of fluorescence induction caused by narrow‐ and wide‐field illumination. Cytochalasin D, cooling of bath solution, and inactivation of light‐dependent envelope transporters were used to disturb cyclosis‐mediated spatial interactions. Although fluorescence induction curves induced by narrow‐ and wide‐field illumination differed greatly under control conditions, they became similar after the inhibition of cyclosis with cytochalasin D. The results indicate that cytoplasmic streaming not only drives the lateral translocation of photometabolites but also promotes the export of reducing power from illuminated chloroplasts due to flushing the chloroplast surface and keeping sharp concentration gradients.","Bulychev, Alexander A;Cherkashin, Alexander A;Shapiguzov, Stepan Yu;Alova, Anna V","2021","Agricultural & Environmental Science Collection","chla","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"74","hydrodynamic investigation of surface hydrological connectivity and its effects on the water quality of seasonal lakes: insights from a complex floodplain setting (poyang lake, china)","r3_08","","Small, seasonal lakes that exist in floodplains are rarely investigated, and yet they play an important role in the protection of biodiversity and are highly susceptible to modification due to human activities. This study presents a first attempt to combine hydrodynamic modeling and statistical methods to investigate hydrological connectivity and its relationship with the water quality of nine seasonal lakes within the floodplains of Poyang Lake (China). The hydrodynamic model reproduced reasonably well the hydrological regime of the lake and surrounding floodplains, based on field measurements and remote sensing data. Floodplain lakes exhibit similar water-level dynamics to the main lake during connected periods of flooding, while they decouple from the main lake during recession periods. Geostatistical results reveal that although the north-south hydrological connectivity extends over a longer pathway than the west-east connectivity, the rapid reduction in the west-east connectivity indicates a more sensitive response. The west-east connectivity tends to play a dominant role in affecting the interactions between the main lake and floodplains, as expected. Statistical methods indicate that surface hydrological connectivity across the floodplain results in an enhanced spatial similarity in the water quality of the floodplain lakes, in terms of a multitude of water quality parameters (TN, TP, NH4+-N, NO3−-N, NO2−-N, PO43−, CODMn, and Chl a), while surface hydrological isolation was observed to increase the water quality differences between the seasonal lakes. Additionally, enhanced hydrological connectivity may lead to improved water quality of the seasonal lakes from low connectivity to high connectivity condition. Hydrological connectivity may be a key factor controlling the dynamics in water quality between seasonal lakes. The findings of this study support the management of both Poyang Lake and the floodplain wetlands by providing important information on both water resource and water quality, and proposals to better manage the impacts of intensive human activities.","Li, Yunliang;Wu, Huawu;Yao, Jing;Zhang, Qi;Liu, Xinggen;Cai, Yongjiu;Tan, Zhiqiang","2019","Agricultural & Environmental Science Collection","chla","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"100","integrated fracture characterization of asmari reservoir in haftkel field","r3_09","","The Asmari reservoir in Haftkel field is one of the most prolific naturally fractured reservoirs in the Zagros folded zone in the southwest of Iran. The primary production was commenced in 1928 and continued until 1976 with a plateau rate of 200,000 bbl/day for several years. There was an initial gas cap on the oil column. Gas injection was commenced in June 1976 and so far, 28% of the initial oil in place have been recovered. As far as we concerned, fracture network is a key factor in sustaining oil production; therefore, it needs to be characterized and results be deployed in designing new wells to sustain future production. Multidisciplinary fracture evaluation from well to reservoir scale is a great privilege to improve model’s accuracy as well as enhancing reliability of future development plan in an efficient manner. Fracture identification and modeling usually establish at well scale and translate to reservoir using analytical or numerical algorithms with the limited tie-points between wells. Evaluating fracture network from production data can significantly improve conventional workflow where limited inter-well information is available. By incorporating those evidences, the fracture modeling workflow can be optimized further where lateral and vertical connectivity is a concern. This paper begins with the fracture characterization whereby all available data are evaluated to determine fracture patterns and extension of fracture network across the field. As results, a consistent correlation is obtained between the temperature gradient and productivity of wells, also convection phenomenon is confirmed. The findings of this section help us in better understanding fracture network, hydrodynamic communication and variation of temperature. Fracture modeling is the next step where characteristics of fractures are determined according to the structural geology and stress directions. Also, the fault’s related fractures and density of fractures are determined. Meanwhile, the results of data evaluation are deployed into the fracture model to control distribution and characteristics of fracture network, thereby a better representation is obtained that can be used for evaluating production data and optimizing development plan.","Khadivi, Kourosh;Alinaghi, Mojtaba;Dehghani, Saeed;Soltani, Mehrbod;Hassani, Hamed;Mosavi, Seyed Chaseb;Shiralipour, Mansour;Fardin, Hashem;Sanjari, Sadegh;Partovi, Mohammad","2022","ASFA: Aquatic Sciences and Fisheries Abstracts","pro","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"103","investigation of discharge-area groundwaters for recharge source characterization on different scales: the case of jinan in northern china","r3_10","","Discharge-area groundwater in Jinan, a typical karst region in northern China, was investigated by studying both the hydrological and chemical processes evolving from the recharge in mountainous terrains to the karst-spring outflows in the metropolitan area. Large-scale exploitation of karst groundwater has led to a disturbing trend in the ever-decreasing spring outflow rates and groundwater level. There is insufficient information about the Jinan karst aquifers, which provide the main water sources to meet human demand and to sustain spring outflow. The coupling of hydrological and chemical processes quantifies the flow system through aqueous chemistry characterization of the water sources. This approach is used to study the groundwater flow discharges in different locations and geological settings. The potentiometric data indicated limited vertical connectivity between distinct hydrogeological units and alteration of the recharge regime by the faults and by artificial exploitation. Shallow groundwater primarily belongs to the local flow system, with high nitrate concentration and enriched stable isotopic contents. Thermal groundwater has high concentrations of chloride and total dissolved solids, derived from a regional flow system with the highest recharge altitudes and long residence time. Non-thermal karst water may be attributed to the intermediate flow system, with uniform HCO sub(3)-Ca(Mg) facies and low nitrate concentration. This work highlighted discharge as a fingerprint of groundwater flow conditions and provides a better insight into the hydrogeological system.Original Abstract: L'eau souterraine de la zone de decharge de Jinan, une region karstique typique dans le nord de la Chine, a fait l'objet d'une recherche par le biais d'une etude conjointe des processus hydrologiques et chimiques qui se developpent de la zone de recharge dans les terrains de montagne jusqu'aux emergences de sources karstiques dans l'aire metropolitaine. L'exploitation a grande echelle de l'eau souterraine du karst a conduit a une tendance alarmante de diminution ininterrompue du debit des sources et du niveau piezometrique des eaux souterraines. Il n'y a une information insuffisante concernant les aquiferes karstiques de Jinan, qui constituent les ressources en eau principales pour repondre a la demande en eau potable et pour assurer le soutien du debit des sources. Le couplage des processus hydrologiques et chimiques quantifie le systeme d'ecoulement grace a la caracterisation de l'hydrochimie des ressources en eau. Cette approche est utilisee pour etudier la decharge de l'ecoulement d'eau souterraine dans des localisations et des contextes geologiques differents. Les donnees de charges hydrauliques ont indique une connectivite verticale limitee entre les unites hydrogeologiques distinctes et une perturbation du regime de recharge par les failles et par l'exploitation artificielle. Les eaux souterraines peu profondes relevent essentiellement du systeme d'ecoulement local, avec une concentration elevee en nitrate et un enrichissement en isotopes stables. L'eau souterraine thermale a des concentrations elevees en chlorures et en matieres dissoutes totales, provenant d'un systeme d'ecoulement regional avec des altitudes de recharge les plus elevees et de long temps de sejour. L'eau non-thermale du karst peut etre attribuee a un systeme d'ecoulement intermediaire, avec un facies uniforme de type HCO sub(3)-Ca(Mg) et une concentration faible en nitrate. Ce travail fait clairement apparaitre la decharge comme l'expression des conditions d'ecoulement souterrain et fournit un meilleur apercu du systeme hydrogeologique.","Wang, Jiale;Jin, Menggui;Lu, Guoping;Zhang, Dele;Kang, Fengxin;Jia, Baojie","2016","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"106","landscape controls on thermokarst lake water fluxes between inuvik and tuktoyaktuk, northwest territories, canada","r3_11","","The Arctic is warming at twice the rate of the rest of the world, causing precipitation to shift from snowfall to rainfall, longer snow-free and ice-free summers, increased evapotranspiration, and permafrost thaw. It is necessary to understand how thermokarst lake water fluxes will react to these changes if we are to predict future greenhouse gas fluxes from lakes. Greenhouse gas fluxes from lakes are tied to the amount of lateral carbon delivery into the lake, the residence time of lake waters, and the temperature of lake waters, all of which are regulated by lake water fluxes and lake characteristics. The Arctic is warming at twice the rate of the rest of the world, causing precipitation to shift from snowfall to rainfall, longer snow-free and ice-free summers, increased evapotranspiration, and permafrost thaw. It is necessary to understand how thermokarst lake water fluxes will react to these changes if we are to predict future greenhouse gas fluxes from lakes. Greenhouse gas fluxes from lakes are tied to the amount of lateral carbon delivery into the lake, the residence time of lake waters, and the temperature of lake waters, all of which are regulated by lake water fluxes and lake characteristics. We measured lake water flux components at multiple spatial and temporal scales across the 5000 km (super 2) boreal-tundra transition zone between Inuvik and Tuktoyaktuk, Northwest Territories, Canada. Lake water flux components were measured at two adjacent thermokarst lakes with different ratios of lake area to catchment area (LACA), from 2017-2019. Also, stable water isotope samples were collected from March-September 2018 from approximately 100 lakes across 2000 km (super 2) . From these samples we estimated the ratio of evaporation to inflow, residence time, and the mixture of snowmelt and rainfall runoff in each lake. Catchments of all 7500 lakes in the region were delineated using a high-resolution digital elevation model in order to estimate their LACA, and evaluate connectivity between lakes. Lake temperature, conductivity, dissolved oxygen, pH, DOC, DON, and chlorophyll profiles were also measured from approximately 50 lakes pre-snowmelt in 2019. We measured lake water flux components at multiple spatial and temporal scales across the 5000 km (super 2) boreal-tundra transition zone between Inuvik and Tuktoyaktuk, Northwest Territories, Canada. Lake water flux components were measured at two adjacent thermokarst lakes with different ratios of lake area to catchment area (LACA), from 2017-2019. Also, stable water isotope samples were collected from March-September 2018 from approximately 100 lakes across 2000 km (super 2) . From these samples we estimated the ratio of evaporation to inflow, residence time, and the mixture of snowmelt and rainfall runoff in each lake. Catchments of all 7500 lakes in the region were delineated using a high-resolution digital elevation model in order to estimate their LACA, and evaluate connectivity between lakes. Lake temperature, conductivity, dissolved oxygen, pH, DOC, DON, and chlorophyll profiles were also measured from approximately 50 lakes pre-snowmelt in 2019. Lakes with a smaller LACA had a larger portion of their inflow evaporate, longer residence times, and have less of their water replaced after rainfall events. Coupling isotope samples taken before, during, and after snowmelt with field observations also revealed that the majority of snowmelt runoff flowed overtop of lake ice and through the outlet, as the lake ice stopped snowmelt runoff entering the lake until it had melted sufficiently. LACA and lake connectivity also varied greatly across the 7500 lakes in the region. Further work this year will compare lake limnological properties and greenhouse gas fluxes with LACA and other lake and catchment properties. Lakes with a smaller LACA had a larger portion of their inflow evaporate, longer residence times, and have less of their water replaced after rainfall events. Coupling isotope samples taken before, during, and after snowmelt with field observations also revealed that the majority of snowmelt runoff flowed overtop of lake ice and through the outlet, as the lake ice stopped snowmelt runoff entering the lake until it had melted sufficiently. LACA and lake connectivity also varied greatly across the 7500 lakes in the region. Further work this year will compare lake limnological properties and greenhouse gas fluxes with LACA and other lake and catchment properties.","Wilcox, E;Walker, B;Hould Gosselin, Gabriel;Wolfe, Brent B;Sonnentag, Oliver;Marsh, Philip;Saarela, Taija;Anonymous","2019","GeoRef","chla","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"121","nutrient controls on phytoplankton composition and ecological function among hydrologically distinct habitats in the upper mississippi river ","r3_12","","The Upper Mississippi River (UMR) is a productive floodplain river with a complex lateral habitat array. Three habitats (main channel, flow-through backwater (moderately connected), and single-connection backwater (least connected)) in a typical UMR reach (Pool 8 near La Crosse, WI) representing a connectivity gradient (distance to main channel) were studied. Differential responses by species of phytoplankton to diverse habitat conditions promoted compositional differences among contrasting habitats. Increases in cyanobacterial blooms have raised awareness that nutrient factors may be important to UMR phytoplankton dynamics. Four main goals of my research were to identify: (1) present (1999-2004) spatiotemporal patterns in phytoplankton species composition and related nutrient regimes in UMR Pool 8, (2) which nutrients control algal production across habitat and phytoplankton assemblage type, (3) the effect of nutrient enrichment on phytoplankton composition, and (4) how nutrient enrichment affects the ecological function (N sub(2)-fixation) of bloom-forming cyanobacteria. Nutrient addition bioassays were conducted in situ to test effects of nutrient enrichment on phytoplankton. Multivariate analyses aided in the identification of multi-species differences over space and time. Results indicated that seasonal change and to a lesser extent habitat differences affected phytoplankton species composition and that phosphorus (P) was the nutrient that best explained compositional patterns. Bioassay experiments indicated that net phytoplankton production was often N-limited or co-limited by N and P but that P alone was important in the single-connection backwater. The flow-through backwater was limited most frequently and had the greatest degree of limitation overall. In general, the strongest responses to nutrient enrichment by UMR phytoplankton occurred in response to NP-enrichment and resulted in greater species diversity. Often the addition of N alone or in combination with P resulted in lower cell densities and/or relative abundance of N sub(2)-fixing cyanobacteria, while non-N sub(2)-fixing cyanobacteria and chlorophytes responded positively to N and NP enrichment. Iron was found to be a factor determining cyanobacterial species composition. N sub(2)-fixation was found to supplement cyanobacterial N-requirements in single-connection and main channel habitats and was controlled by P supply. Management programs are going to need to account for the complex spatiotemporal dynamics between phytoplankton and nutrient supply identified in this study.","Decker, Jillian Kate","2012","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"123","opposing effects of climate and permafrost thaw on ch (sub 4) and co (sub 2) emissions from northern lakes","r3_13","","Small, organic-rich lakes are important sources of methane (CH (sub 4) ) and carbon dioxide (CO (sub 2) ) to the atmosphere, yet the sensitivity of emissions to climate warming is poorly constrained and potentially influenced by permafrost thaw. Here, we monitored emissions from 20 peatland lakes across a 1,600 km permafrost transect in boreal western Canada. Contrary to expectations, we observed a shift from source to sink of CO (sub 2) for lakes warmer regions, driven by greater primary productivity associated with greater hydrological connectivity to lakes and nutrient availability in the absence of permafrost. Conversely, an 8-fold increase in CH (sub 4) emissions in warmer regions was associated with water temperature and shifts in microbial communities and dominant anaerobic processes. Our results suggest that the net radiative forcing from altered greenhouse gas emissions of northern peatland lakes this century will be dominated by increasing CH (sub 4) emissions and only partially offset by reduced CO (sub 2) emissions. Abstract Copyright (2021), . The Authors.","Kuhn, McKenzie A;Thompson, Lauren M;Winder, Johanna C;Braga, Lucas P P;Tanentzap, Andrew J;Bastviken, David;Olefeldt, David","2021","GeoRef","pro","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"128","phytoplankton assemblages in a reservoir cascade of a large tropical - subtropical river (se, brazil)","r3_14","","The phytoplankton assemblages from eight reservoirs of the Paranapanema River were studied during two consecutive years. Chlorophyceae and Bacillaryophyceae dominated in richness. The observed high number of taxa, 234, reflects the extensive sampling programme and evidences the necessity of considering the whole hydrograph basin to assess the biodiversity status of inland water ecosystems. The dams had a negative effect on phytoplankton richness, with higher number of taxa associate to riverine (non-regulated) stretches. The tributary rivers also exhibited high species richness, showing the importance of considering the lateral dimension, in addition to the longitudinal one, for aquatic biota inventories in large river basins/reservoirs. Richness and diversity were also positively influenced by the connectivity with lateral wetlands (macrophyte-dominated lakes) due to the periphyton influence. The phytoplankton abundance/biomass was not influenced by higher water retention time. Higher values occurred in the middle basin stretches (river-passage reservoirs) due to the increase in the trophic conditions. There was a positive correlation with phosphorus. Poorer light conditions in the cascade do not limit the phytoplankton biomass, with assemblages dominated by species tolerant to turbulent conditions and high mineral turbidity. Bacillariophyceae and Cryptophyceae dominated numerically. The first group (unicellular forms) was prominent in the large and oligotrophic upstream reservoirs. The second was highly abundant in the river-passage (low retention time), and more eutrophic, reservoirs. Cyanophyceae growth is probably controlled by advection processes (wash-out effect). The zooplankton does not control the phytoplankton biomass and the diversity of both groups is positively associated in the cascade. The structure of the phytoplankton assemblages showed to be a good indicator of the operationally distinct reservoirs of the Paranapanema cascade and also reflected the changes in the trophic conditions along the basin.Original Abstract: As assembleias fitoplanctonicas de oito reservatorios do rio Paranapanema foram estudadas durante dois anos consecutivos. Chlorophyceae e Bacillaryophyceae foram os grapos dominantes em riqueza. O elevado numero de taxons observado, 234, reflete o extensivo programa de amostragem e evidencia a necessidade de se considerar a bacia hidrografica como um todo em programas de avaliacao da biodiversidade de ecossistemas aquaticos interiores. As barragens tiveram um efeito negativo sobre a riqueza do fitoplancton, sendo o maior numero de taxons associado aos trechos fluviais (nao regulados). Os rios tributarios tambem exibiram um elevado numero de especies, mostrando a importancia de se considerar a dimensao lateral, alem do gradiente longitudinal, para os inventarios da biota aquatica em reservatorios e bacias hidrograficas de grande porte. A riqueza e a diversidade tambem foram positivamente influenciadas pela conectividade com areas laterals inundaveis - varzeas dominadas pela presenga de macrofitas aquaticas, devido a contribuicao do perifiton. A abundancia e biomassa do fitoplancton nao foram influenciadas pelo tempo de retencao da agua nos reservatorios. Valores mais elevados foram observados no medio Paranapanema (reservatorios fio d'agua) devido ao aumento nas condicoes de trofia. Houve uma correlacao positiva com a concentracao de fosforo. Condicoes de menor transparencia nao limitaram a biomassa fitoplanctonica, sendo as assembleias dominadas por especies tolerantes a condicoes de elevada turbulencia e turbidez mineral. Bacillariophyceae e Cryptophyceae foram as algas numericamente dominantes. O primeiro grupo (formas unicelulares) predominou nos grandes reservatorios oligotroficos do alto Paranapanema. O segundo grupo foi muito abundante em reservatorios do tipo fio d'agua (baixo tempo de retencao) e tambem mais eutroficos. Provavelmente o crescimento das Cyanophyceae e controlado por processos de transporte advectivo. O zooplancton nao exerce um controle sobre a biomassa fitoplanctonica e a diversidade de ambos os grupos esteve positivamente associada na cascata. A estrutura das assembleias fitoplanctonicas pode ser considerada um bom indicador das distintas condicoes de operacao dos reservatorios em cascata do rio Paranapanema e tambem reflete as mudancas nas condicoes oligotroficas ao longo da bacia.","Nogueira, M G;Ferrareze, M;Moreira, M L;Gouvea, R M","2010","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"131","phytoplankton functional groups in a subtropical brazilian reservoir: responses to impoundment","r3_15","","The discontinuity in rivers caused by the construction of reservoirs disrupts the longitudinal gradient and decreases the natural connectivity of lotic systems. We evaluated the dynamics of Reynolds functional groups (RFGs) in response to the formation of a subtropical reservoir, in relation to the environmental changes between the pre- and post-impoundment periods. We hypothesized that the disruption of longitudinal connectivity and the changes in the light and mixing regime after the impoundment would directly influence the phytoplankton functional structure. Significant changes in the light and mixing regimes were observed after the impoundment, with the formation of a lacustrine zone, influencing the dynamics of RFGs. Fourteen RFGs were recorded. RFG C (diatoms) dominated in the pre-impoundment period. In the post-impoundment period, RFGs C, P (diatoms), and J (chlorophyceans) codominated with the highest mean values of biovolume. RFGs MP, N, H1, W2, F, E, A, W1, B, X1, and S1 contributed relatively little to the biovolume, although with higher values in the post-impoundment period. RFGs F and S1 were recorded only after the impoundment. This study revealed the important roles of physical processes and nutrients in the spatial and seasonal gradient, and in the selection of phytoplankton functional groups in a subtropical reservoir.","Souza, Dayane Garcia;Bueno, Norma Catarina;Bortolini, Jascieli Carla;Rodrigues, Luzia Cleide;Bovo-Scomparin, Vania Mara;Souza Franco, Gilza Maria","2016","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"132","phytoplankton of the middle parana river during an anomalous hydrological period: a morphological and functional approach","r3_16","","The Parana River mainstem was sampled monthly (November 1999-December 2000) in order to analyse phytoplankton structure and dynamics during a period of extreme low water discharge. Physiognomic groups, size fractions, taxonomic groups, species and Reynolds et al. [2002, Journal of Plankton Research, 24: 417-428] functional groups were studied in relation to environmental variables. The phytoplankton comprised an unusual development of small unicellular flagellates (1-20 mm), whereas large size algae such as the commonly recorded Aulacoseira were present with very low abundances. Groups Y (Cryptomonas spp.), X2 (Chlamydomonas spp., Rhodomonas minuta followed by a silicean chrysophyte) and D (Skeletonema cf. subsalsum and small centrics in minor proportion) dominated the phytoplankton community. Groups X2 and Y dominated at drought phase (November-December 1999). During the coupling of increasing waters and high-suspended solids (February-May 2000) minimum abundance was exhibited. The highest densities were registered during mid-waters (Y, D, X2) when a constant river-floodplain feedback occurred (September-December). The connectivity between the main channel and its alluvial valley, and their interaction resulting from the regular alternation of hydrological fluctuations, play a steering role in structuring the potamoplankton of large rivers. The multivariate RDA showed that water discharge and transparency highly explained a significant proportion of the functional groups variation. The functional classification is proposed as a useful approach in reconstructing the phytoplankton community. The differences in structure from the typically described potamoplankton for the Parana were maintained throughout the study period. The perseverance of the community changes that occurred during the drought depends, in part, on the persistence and magnitude of this anomalous phase.","Devercelli, Melina","2006","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"147","solute transport dynamics in small, shallow groundwater-dominated agricultural catchments: insights from a high-frequency, multisolute 10 yr-long monitoring study","r3_17","","High-frequency, long-term and multisolute measurements are required to assess the impact of human pressures on water quality due to (i) the high temporal and spatial variability of climate and human activity and (ii) the fact that chemical solutes combine short- and long-term dynamics. Such data series are scarce. This study, based on an original and unpublished time series from the Kervidy-Naizin headwater catchment (Brittany, France), aims to determine solute transfer processes and dynamics that characterise this strongly human-impacted catchment. The Kervidy-Naizin catchment is a temperate, intensive agricultural catchment, hydrologically controlled by shallow groundwater. Over 10 yr, five solutes (nitrate, sulphate, chloride, and dissolved organic and inorganic carbon) were monitored daily at the catchment outlet and roughly every four months in the shallow groundwater. The concentrations of all five solutes showed seasonal variations but the patterns of the variations differed from one solute to another. Nitrate and chloride exhibit rather smooth variations. In contrast, sulphate as well as organic and inorganic carbon is dominated by flood flushes. The observed nitrate and chloride patterns are typical of an intensive agricultural catchment hydrologically controlled by shallow groundwater. Nitrate and chloride originating mainly from organic fertilisers accumulated over several years in the shallow groundwater. They are seasonally exported when upland groundwater connects with the stream during the wet season. Conversely, sulphate as well as organic and inorganic carbon patterns are not specific to agricultural catchments. These solutes do not come from fertilisers and do not accumulate in soil or shallow groundwater; instead, they are biogeochemically produced in the catchment. The results allowed development of a generic classification system based on the specific temporal patterns and source locations of each solute. It also considers the stocking period and the dominant process that limits transport to the stream, i.e. the connectivity of the stocking compartment. This mechanistic classification can be applied to any chemical solute to help assess its origin, storage or production location and transfer mechanism in similar catchments.","Aubert, AH;Gascuel-Odoux, C;Gruau, G;Akkal, N;Faucheux, M;Fauvel, Y;Grimaldi, C;Hamon, Y;Jaffrezic, A;Lecoz-Boutnik, M","2013","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"148","spatial and temporal dynamics of suspended particle characteristics and composition in navigation pool 19 of the upper mississippi river","r3_18","","Suspended particles are an essential component of large rivers influencing channel geomorphology, biogeochemical cycling of nutrients, and food web resources. The Upper Mississippi River is a large floodplain river that exhibits pronounced spatiotemporal variation in environmental conditions and biota, providing an ideal environment for investigating dynamics of suspended particles in large river ecosystems. Here we investigated two questions: (i) How do suspended particle characteristics (e.g. size and morphology) vary temporally and spatially? and (ii) What environmental variables have the strongest association with particle characteristics? Water sampling was conducted in June, August, and September of 2013 and 2014 in Navigation Pool 19 of the Upper Mississippi River. A FlowCAM® (Flow Cytometer and Microscope) particle imaging system was used to enumerate and measure particles 53-300 µm in diameter for size and shape characteristics (e.g. volume, elongation, and symmetry). Suspended particle characteristics varied considerably over space and time and were strongly associated with discharge and concentrations of nitrate + nitrite (NO(3) ) and soluble reactive phosphorus. Particle characteristics in backwaters were distinct from those in other habitats for most of the study period, likely due to reduced hydrologic connectivity and higher biotic production in backwaters. During low discharge, phytoplankton and zooplankton made up relatively greater proportions of the observed particles. Concurrently during low discharge, concentrations of chlorophyll, volatile suspended solids, and total phosphorus were higher. Our results suggest that there are complex interactions among space, time, discharge, and other environmental variables (e.g. water nutrients), which drive suspended particle dynamics in large rivers. Copyright © 2017 John Wiley &amp; Sons, Ltd.","Milde, A S;Richardson, W B;Strauss, E A;Larson, J H;Vallazza, J M;Knights, B C","2017","Agricultural & Environmental Science Collection","chla","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"154","spatial variability in dissolved organic matter and inorganic nitrogen concentrations in a semiarid stream, san pedro river, arizona","r3_19","","We performed synoptic sampling of a 95-km reach of the San Pedro River, Arizona, to identify the effects of regional hydrology and land use on dissolved carbon and nitrogen concentrations. Six synoptic surveys, two before, two during, and two after the 2002 monsoon season, encompassed periods of both low and high stream discharge. Chloride concentrations and delta super(18)O values during low-flow periods indicated the river was divided into three hydrologically distinct reaches each roughly 30 km long. Upper and lower reaches were characterized by areas of localized groundwater input followed by downstream evapo-concentration gradients, limited downstream solute transport, and highly variable carbon and nitrogen concentrations. In contrast, the middle reach was characterized by widespread groundwater input, continuous downstream hydrologic connectivity, and less variable carbon and nitrogen concentrations. During the monsoon season, base flow discharge increased five- to ten-fold, dissolved organic matter and inorganic N increased two- to ten-fold, Fluorescence Index (FI) values indicated a large input of terrestrial solutes, and both chloride concentrations and delta super(18)O values indicated that stream water and alluvial groundwater were well mixed along the entire 95 km reach. Concurrently, the middle reach that exhibited continuous hydrologic connectivity during the nonmonsoon season was a net sink for N, while the reaches characterized by limited hydrologic connectivity during the low-flow season exhibited net N export. Our data suggest that instream biogeochemical cycling during the monsoon season is influenced by antecedent conditions, specifically hydrologic connectivity, during the dry season.","Brooks, Paul D;Lemon, Michelle M","2007","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"168","the main target of connection of lakes with rivers is not to dilute pollutants, but to rehabilitate natural hydrological regimes and self-purification function","r3_20","","Water diversion from rivers to lakes is popularly considered as a measure to control lake eutrophication, but the actual efficacy is quite limited in general. How to connect lakes with rivers in a scientific way? To answer this question, first, I analyze 5 diversion cases in China and other countries, and simulate effect of adding water using Vollen-weider's model. The results show that improving water quality by dilution depends upon whether there is large amount of input water with total phosphorus concentrations much lower than original inflow ones, but such a premise is generally difficult to meet. Second, I compare water quality of lakes disconnected and connected with the Yangtze mainstem, and find that chlorophyl a concentration of water in disconnected lakes are increased by 0.7-2.4 times when total phosphorus concentrations are in the same levels. The mechanisms of better water quality of connected lakes are fourfold, i.e., the natural water level fluctuation promotes vegetation development, seasonal trying-up and shallowing of lakeshore promotes pollutants decomposition and adsorption, turbid flowing water results in lower efficiency of nutrient utilization by phytoplankton, and the ecological complexity is higher with more heterogeneous habitats, higher biodiversity, and more complex food webs. Last, I point out that setting a scientific feasible target is the very basis to implement a river-lake connection project correctly. If the aim is to dilute pollutants, enough clean water is needed, and this can only be realized for smaller waterbodies. If the aim is to wash out phytoplankton, the flushing rate should be higher than specific growth rates of dominated algae, reaching 10%-20%/d, and this is also only feasible for smaller waterbodies. As for most lakes, in particular, shallow ones, connection of lakes with rivers should aim mainly to rehabilitate free hydrological connectivity and natural water level regimes, and then to enhance self-purification function. Such a mode costs a lesser amount of water, but reaches the best effect. This review provides important guidance for river-lake connection projects.","Wang Hong-Zhu","2021","BiosisPreview","chla","PG","NA","NA","NA","NA","NA","NA","NA","NA"
