"","ID","chlorophyll_response"
"99","chl_10","Algal cell density and chlorophyll a concentration were significantly higher at sites with hyporheic discharge (+VHG, upwelling) compared to both sites with hyporheic recharge (-VHG, downwelling) and sites


with no hyporheic-surface water exchange (=VHG, neutral) (ANOVA, P\0.05). The assemblages of algae at upwelling sites were also significantly different from downwelling and neutral exchange sites (ANOSIM, P\0.05). Filamentous green algae Stigeoclonium sp. and Zygnema sp. and a chrysophyte, Hydrurus foetidus (Villars) Trevisan were abundant at upwelling sites, whereas an assemblage of diatoms Achnanthidium minutissimum (KuÂ¨tzing) Czarnecki, Cymbella excisa KuÂ¨tzing, Diatoma moniliformis KuÂ¨tzing, and Gomphonema olivaceoides Hustedt, were the most abundant taxa at downwelling and neutral exchange sites, occurring attached to, or in close association with the stalks of Didymosphenia geminata (Lyngbye) Schmidt."
"100","pro_4","Our results stress the importance of primary production in sustaining Bacterial secondary production in backwaters with a connectivity gradient. Nonetheless,the only modest variation of Bacterial secondary production compared to more dynamic primary production (the rate of carbon fixed in particulate organic matter (pPP), the rate of dissolved organic carbon released extracellularly by phytoplankton, and chl a) demonstrates that organic matter derived from sources other than phyto-planktonal sosupported  Bacterial secondary production in this river-floodplain system. chla (ugl -1) was highest in system I, intermediate in system II and lowerst in system III (statistically significant, data in Figure 2B)"
"101","pro_74","not analysed"
"102","r3_25",NA
"103","r3_01",NA
"104","r3_05","decrease"
"105","r3_13","increase"
"106","r3_15",NA
"107","r3_17",NA
"108","r3_19",NA
"109","r3_21",NA
"110","r3_23","decrease"
"111","r3_02",NA
"112","r3_08","chl results not reported"
"113","r3_10",NA
"114","r3_14","The chlorophyll-a concentration was significantly higher (p = 0.003) in the tributaries when compared to the reservoirs. Considering the intra-reservoir variability a significant decreasing tendency from upstream to the dam (p = 0.001) was observed. Chlorophyll-a concentrations were higher in summer for both studied years. Longitudinally, chlorophyll values were higher in the middle basin reservoirs."
"115","r3_16",NA
"116","r3_18","Concurrently during low discharge, concentrations of chlorophyll, volatile suspended solids, and total phosphorus were higher."
"117","r3_22","Chlorophyll concentrations increased in summer strongly in the large lakes, whereas increases were highly variable in remote lakes and lowest in inflow lakes."
"118","r3_24","variable, lots of data in tables"
