"title","abstract","authors","article_type","pub_year","volume","database_id","database_type","ID","reviewer_name","consistency_check","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes"
"consistent trophic patterns among fishes in lagoon and channel habitats of a tropical floodplain river: evidence from stable isotopes","The relationship between food web dynamics and hydrological connectivity in rivers should be strongly influenced by annual flood pulses that affect primary production dynamics and movement of organic matter and consumer taxa. We sampled basal production sources and fishes from connected lagoons and the main channel of a low-gradient, floodplain river within the Orinoco River Basin in Venezuela. Stable isotope analysis was used to model the contribution of four basal production sources to fishes, and to examine patterns of mean trophic position during the falling-water period of the annual flood cycle. IsoSource, a multi-source mixing model, indicated that proportional contributions from production sources to fish assemblages were similar in lagoons and the main channel. Although distributions differed, the means for trophic positions of fish assemblages as well as individual species were similar between the two habitats. These findings contradict recent food web studies conducted in temperate floodplain rivers that described significant differences in trophic positions of fishes from slackwater and floodplain versus main channel habitats. Low between-habitat trophic variation in this tropical river probably results from an extended annual flood pulse (ca. 5 mo.) that allows mixing of sestonic and allochthonous basal production sources and extensive lateral movements of fishes throughout the riverscape.","Roach, KA;Winemiller, KO;Layman, CA;Zeug, S C","Scholarly Journals",2009,35,"20869414","proquest",11,"DC","ES",NA,NA,NA,NA,NA,NA,NA
"continental-scale consequences of tree die-offs in north america: identifying where forest loss matters most","Regional-scale tree die-off events driven by drought and warming and associated pests and pathogens have occurred recently on all forested continents and are projected to increase in frequency and extent with future warming. Within areas where tree mortality has occurred, ecological, hydrological and meteorological consequences are increasingly being documented. However, the potential for tree die-off to impact vegetation processes and related carbon dynamics in areas remote to where die-off occurs has rarely been systematically evaluated, particularly for multiple distinct regions within a given continent. Such remote impacts can occur when climate effects of local vegetation change are propagated by atmospheric circulation—the phenomena of ‘ecoclimate teleconnections’. We simulated tree die-off events in the 13 most densely forested US regions (selected from the 20 US National Ecological Observatory Network [NEON] domains) and found that tree die-off even for smaller regions has potential to affect climate and hence Gross Primary Productivity (GPP) in disparate regions (NEON domains), either positively or negatively. Some regions exhibited strong teleconnections to several others, and some regions were relatively sensitive to tree loss regardless of what other region the tree loss occurred in. For the US as a whole, loss of trees in the Pacific Southwest—an area undergoing rapid tree die-off—had the largest negative impact on remote US GPP whereas loss of trees in the Mid-Atlantic had the largest positive impact. This research lays a foundation for hypotheses that identify how the effects of tree die-off (or other types of tree loss such as deforestation) can ricochet across regions by revealing hot-spots of forcing and response. Such modes of connectivity have direct applicability for improving models of climate change impacts and for developing more informed and coordinated carbon accounting across regions.","Swann, Abigail L S;Laguë, Marysa M;Garcia, Elizabeth S;Field, Jason P;Breshears, David D;Moore, David J P;Saleska, Scott R;Stark, Scott C;Juan Camilo Villegas;Law, Darin J;Minor, David M","Scholarly Journals",2018,13,"2548968852","proquest",12,"PG","CP",NA,NA,NA,NA,NA,NA,NA
"dam builders and their works; beaver influences on the structure and function of river corridor hydrology, geomorphology, biogeochemistry and ecosystems","Beavers (Castor fiber, Castor canadensis) are one of the most influential mammalian ecosystem engineers, heavily modifying river corridor hydrology, geomorphology, nutrient cycling, and ecosystems. As an agent of disturbance, they achieve this first and foremost through dam construction, which impounds flow and increases the extent of open water, and from which all other landscape and ecosystem impacts follow. After a long period of local and regional eradication, beaver populations have been recovering and expanding throughout Europe and North America, as well as an introduced species in South America, prompting a need to comprehensively review the current state of knowledge on how beavers influence the structure and function of river corridors. Here, we synthesize the overall impacts on hydrology, geomorphology, biogeochemistry, and aquatic and terrestrial ecosystems. Our key findings are that a complex of beaver dams can increase surface and subsurface water storage, modify the reach scale partitioning of water budgets, allow site specific flood attenuation, alter low flow hydrology, increase evaporation, increase water and nutrient residence times, increase geomorphic heterogeneity, delay sediment transport, increase carbon, nutrient and sediment storage, expand the extent of anaerobic conditions and interfaces, increase the downstream export of dissolved organic carbon and ammonium, decrease the downstream export of nitrate, increase lotic to lentic habitat transitions and aquatic primary production, induce 'reverse' succession in riparian vegetation assemblages, and increase habitat complexity and biodiversity on reach scales. We then examine the key feedbacks and overlaps between these changes caused by beavers, where the decrease in longitudinal hydrologic connectivity create ponds and wetlands, transitions between lentic to lotic ecosystems, increase vertical hydraulic exchange gradients, and biogeochemical cycling per unit stream length, while increased lateral connectivity will determine the extent of open water area and wetland and littoral zone habitats, and induce changes in aquatic and terrestrial ecosystem assemblages. However, the extent of these impacts depends firstly on the hydro-geomorphic landscape context, which determines the extent of floodplain inundation, a key driver of subsequent changes to hydrologic, geomorphic, biogeochemical, and ecosystem dynamics. Secondly, it depends on the length of time beavers can sustain disturbance at a given site, which is constrained by top down (e.g. predation) and bottom up (e.g. competition) feedbacks, and ultimately determines the pathways of river corridor landscape and ecosystem succession following beaver abandonment. This outsized influence of beavers on river corridor processes and feedbacks is also fundamentally distinct from what occurs in their absence. Current river management and restoration practices are therefore open to re-examination in order to account for the impacts of beavers, both positive and negative, such that they can potentially accommodate and enhance the ecosystem engineering services they provide. It is hoped that our synthesis and holistic framework for evaluating beaver impacts can be used in this endeavor by river scientists and managers into the future as beaver populations continue to expand in both numbers and range.","Larsen, Annegret;Larsen, Joshua R;Lane, Stuart N","Scholarly Journals",2021,218,"2552303537","proquest",13,"ES","CP",NA,NA,NA,NA,NA,NA,NA
"development, maintenance and role of riparian vegetation in the river landscape","Functional zones were characterised (with respect to vegetation development in association with various biogeochemical processes) within geomorphological settings using a delineation based upon erosional, transitional and depositional properties. Vegetation dynamics within the riparian corridor are clearly influenced substantially by hydrological disturbance regimes. In turn, it is suggested that vegetation productivity and diversity may widely influence riverine biogeochemical processes, especially as related to the consequences of changing redox conditions occurring from upstream to downstream. However, surface and ground linkages are the predominant controls of landscape connectivity within riparian systems. The importance of riparian zones as sources and sinks of matter and energy was examined in context of structural and functional attributes, such as sequestering or cycling of nutrients in sediments, retention of water in vegetation, and retention, diffusion or dispersal of biota. The consequences of interactions between different communities on biogeochemical processes are notably in need of research, especially with respect to control of landscape features.","Tabacchi, E;Correll, D L;Hauer, R;Pinay, G;Planty-Tabacchi, A-M;Wissmar, R C","Scholarly Journals",1998,40,"17330580","proquest",14,"RP","CP",NA,NA,NA,NA,NA,NA,NA
"diel cycles of delta c-13(dic) and ecosystem metabolism in ephemeral dryland streams","Streams in hot, arid environments often exist as a series of isolated pools along main channels. During these periods, shallow alluvial through flow may strongly influence key ecological processes within pools. We measured diel changes in delta C-13 values of dissolved inorganic carbon (DIC) and dissolved oxygen (DO) in two pools of ephemeral, dryland streams. We quantified alluvial water connectivity through stable isotope analysis (delta O-18 and delta H-2) of pool and alluvial water. We also estimated gross primary productivity (GPP) and ecosystem respiration (ER) rates across a wider set of pools in both streams. delta C-13(DIC) values displayed regular diel cycles, where both pools displayed small but similar daily amplitude (0.7-0.9 parts per thousand) despite contrasting amplitudes of change in DO (0.8 mg L-1 vs. 2.8 mg L-1) and contrasting alluvial water connectivity (connected vs. disconnected). Water temperature was the strongest predictor of both delta C-13(DIC) values and rates of change in delta C-13(DIC) across both pools. Across both streams, all pools were net heterotrophic. GPP (0.35-1.73 g O-2 m(-2) d(-1)) and ER (0.49-2.64 g O-2 m(-2) d(-1)) rates were linked to aquatic vegetation cover. The disconnect between diurnal amplitudes of delta C-13 values and DO concentrations thus suggests that ecological drivers of gas exchange became increasingly localised as pools contracted.","Siebers, Andre R.; Pettit, Neil E.; Skrzypek, Grzegorz; Dogramaci, Shawan; Grierson, Pauline F.","Scholarly Journals",2020,82,"BIOSIS:PREV202000335114","wos",15,"MB","CP",NA,NA,NA,NA,NA,NA,NA
"disturbance legacies increase and synchronize nutrient concentrations and bacterial productivity in coastal ecosystems","Long-term ecological research can resolve effects of disturbance on ecosystem dynamics by capturing the scale of disturbance and interactions with environmental changes. To quantify how disturbances interact with long-term directional changes (sea-level rise, freshwater restoration), we studied 17 yr of monthly dissolved organic carbon (DOC), total nitrogen (TN), and phosphorus (TP) concentrations and bacterioplankton productivity across freshwater-to-marine estuary gradients exposed to multiple disturbance events (e.g., droughts, fire, hurricanes, and low-temperature anomalies) and long-term increases in water levels. By studying two neighboring drainages that differ in hydrologic connectivity, we additionally tested how disturbance legacies are shaped by hydrologic connectivity. We predicted that disturbance events would interact with long-term increases in water levels in freshwater and marine ecosystems to increase spatiotemporal similarity (i.e., synchrony) of organic matter, nutrients, and microbial activities. Wetlands along the larger, deeper, and tidally influenced Shark River Slough (SRS) drainage had higher and more variable DOC, TN, and TP concentrations than wetlands along the smaller, shallower, tidally restricted Taylor River Slough/Panhandle (TS/Ph) drainage. Along SRS, DOC concentrations declined with proximity to coast, and increased in magnitude and variability following drought and flooding in 2015 and a hurricane in 2017. Along TS/Ph, DOC concentrations varied by site (higher in marine than freshwater wetlands) but not year. In both drainages, increases in TN from upstream freshwater marshes occurred following fire in 2008 and droughts in 2010 and 2015, whereas downstream increases in TP occurred with coastal storm surge from hurricanes in 2005 and 2017. Decreases in DOC:TN and DOC:TP were explained by increased TN and TP. Increases in bacterioplankton productivity occurred throughout both drainages following low-temperature events (2010 and 2011) and a hurricane (2017). Long-term TN and TP concentrations and bacterioplankton productivity were correlated (r > 0.5) across a range of sampling distances (1-50 km), indicating spatiotemporal synchrony. DOC concentrations were not synchronized across space or time. Our study advances disturbance ecology theory by illustrating how disturbance events interact with long-term environmental changes and hydrologic connectivity to determine the magnitude and extent of disturbance legacies. Understanding disturbance legacies will enhance prediction and enable more effective management of rapidly changing ecosystems.","Kominoski, John S.; Gaiser, Evelyn E.; Castaneda-Moya, Edward; Davis, Stephen E.; Dessu, Shimelis B.; Julian, Paul, II; Lee, Dong Yoon; Marazzi, Luca; Rivera-Monroy, Victor H.; Sola, Andres; Stingl, Ulrich; Stumpf, Sandro; Surratt, Donatto; Travieso, Rafael; Troxler, Tiffany G.","Scholarly Journals",2020,101,"BIOSIS:PREV202000485050","wos",16,"CP","LY",NA,NA,NA,NA,NA,NA,NA
"drought alters the biogeochemistry of boreal stream networks","Drought is a global phenomenon, with widespread implications for freshwater ecosystems. While droughts receive much attention at lower latitudes, their effects on northern river networks remain unstudied. We combine a reach-scale manipulation experiment, observations during the extreme 2018 drought, and historical monitoring data to examine the impact of drought in northern boreal streams. Increased water residence time during drought promoted reductions in aerobic metabolism and increased concentrations of reduced solutes in both stream and hyporheic water. Likewise, data during the 2018 drought revealed widespread hypoxic conditions and shifts towards anaerobic metabolism, especially in headwaters. Finally, long-term data confirmed that past summer droughts have led to similar metabolic alterations. Our results highlight the potential for drought to promote biogeochemical shifts that trigger poor water quality conditions in boreal streams. Given projected increases in hydrological extremes at northern latitudes, the consequences of drought for the health of running waters warrant attention.","Gómez-Gener, Lluís;Lupon, Anna;Laudon, Hjalmar;Sponseller, Ryan A","Scholarly Journals",2020,11,"2389689161","proquest",17,"LY","MB",NA,NA,NA,NA,NA,NA,NA
"echoes of a flood pulse: short-term effects of record flooding of the illinois river on floodplain lakes under ecological restoration","The flood pulse drives primary productivity, biotic communities, and abiotic processes in large river systems; however, the effects of floods on restored floodplain lakes and associated wetlands are poorly understood. Record flooding of the Illinois River, Illinois, in 2013 reconnected two floodplain preserves under restoration that had been disconnected from the river by levees for &gt;80 years. Differences in hydrological connections between sites created a natural experiment where field-based data collection could be employed to document flood effects. Levee failure and subsequent river connection at Merwin Preserve increased nutrient capture and floodwater retention, shifted microbial and invertebrate communities, increased fish species richness, spawning and nursery habitat, and stimulated production of moist-soil plant communities during summer drawdown that provided foraging habitat for spring-migrating waterfowl. However, increased hydrologic connectivity during the growing season resulted in loss of submersed vegetation and habitat for autumn-migrating waterfowl. In contrast, river water overtopped the levee at Emiquon Preserve during a 6-day event that resulted in marginal changes in the bacterial community and negligible changes in water quality and community diversity. Tradeoffs among ecological services should be carefully considered when reconnection of highly altered rivers to restored lakes and wetlands is proposed.","Lemke, Michael J;Hagy, Heath M;Dungey, Keenan;Casper, Andrew F;Lemke, A Maria;VanMiddlesworth, T D;Kent, Angela","Scholarly Journals",2017,804,"2010228466","proquest",18,"DC","PG",NA,NA,NA,NA,NA,NA,NA
"ecohydrology in semiarid urban ecosystems; modeling the relationship between connected impervious area and ecosystem productivity","In water-stressed, semiarid urban environments, connections between impervious surfaces and drainage networks may strongly impact the water use and ecosystem productivity of neighboring vegetated areas. We use an ecohydrologic model, the Regional Hydro-Ecological Simulation System (RHESSys), to quantify the sensitivity of vegetation water use and net primary productivity (NPP) to fine-scale impervious surface connectivity. We develop a set of very fine-scale (2 m (super 2) ) scenarios that vary both the percentage of impervious surface and fraction of this impervious surface with direct hydrologic connections to urban drainage systems for a small hillslope. When driven by Mediterranean climate forcing, model estimates suggest that total vegetation water use declines with increasing impervious area. However, when impervious area is hydrologically disconnected from the urban drainage network, declines in water and carbon fluxes with decreased vegetated area can be partially, or in some cases even completely, offset by increased transpiration and NPP in the remaining vegetation. Relative increases in water use and NPP of remaining vegetation are much greater for deeply rooted shrubs and trees and negligible for shallow rooted grasses. We extrapolate our findings to the catchment scale by developing a first-order approximation of fine-scale impervious connection impacts on aggregate watershed water and carbon flux estimates. Our approach offers a computationally and data-efficient method for estimating the impact of impervious area connectivity on these ecohydrologic fluxes. For our only partially urbanized Santa Barbara watershed, estimates of water use and NPP that account for fine-scale impervious connection differed by more than 10% from those that did not. Abstract Copyright (2014), . American Geophysical Union. All Rights Reserved.","Shields, Catherine;Tague, Christina","Scholarly Journals",2015,51,"2367185227","proquest",19,"PG","RP",NA,NA,NA,NA,NA,NA,NA
"ecosystem metabolism and nutrient dynamics in the main channel and backwaters of the upper mississippi river","Photosynthesis and respiration are primary drivers of dissolved oxygen dynamics in rivers. We measured dissolved oxygen dynamics, aquatic ecosystem metabolism, algal abundance and nutrient concentrations at main channel and backwater sites on a reach of the Upper Mississippi River that borders the states of Wisconsin and Minnesota (U.S.A.). We asked (i) how ecosystem metabolism rates, dissolved oxygen dynamics and nutrient concentrations differed in the main channel and in backwaters, (ii) whether ecosystem metabolism relates to solar irradiance, nutrient concentration, algal abundance, temperature and river discharge and (iii) whether the relationships between ecosystem metabolism and these environmental factors differs between the main channel and backwaters. The rates of aquatic ecosystem metabolism in the main channel were among the highest reported for large rivers. Mean daily gross primary production (GPP), ecosystem respiration (R) and net ecosystem production (NEP) in the main channel in the 2006 growing season were 10, 6 and 4g O(2)m(2) d(-1), respectively. Solar irradiance, discharge and temperature, rather than nutrients, accounted for most temporal variability in gross primary production (GPP). Discharge was negatively associated with GPP in the main channel and temperature positively associated with GPP in backwaters. Primary production consistently exceeded respiration in the main channel in summer, resulting in persistent oxygen supersaturation from late June to early August. Maximum chlorophyll concentrations (140g L-1) were observed in the main channel, rather than the backwaters. Nitrogen and phosphorus exhibited contrasting temporal patterns in backwaters probably reflecting differences in their sources and sinks; N declined during the growing season while P increased.","Houser, Jeffrey N.; Bartsch, Lynn A.; Richardson, William B.; Rogala, James T.; Sullivan, John F.","Scholarly Journals",2015,60,"BIOSIS:PREV201500646532","wos",20,"ES","LY",NA,NA,NA,NA,NA,NA,NA
"ecosystem metabolism of benthic and pelagic zones of a shallow productive estuary: spatio-temporal variability","Long-term deterioration of water quality is known to reduce the importance of benthic ecosystem metabolism in shallow coastal ecosystems, but drivers of spatial and short-term variability in ecosystem metabolism are poorly understood. We addressed this knowledge gap through detailed seasonal measurements of ecosystem metabolism across depth gradients from shallow (2 to 3 m) eelgrass-dominated to deeper (4 to 5 m) muddy regions of a shallow, productive estuary. Combined measurements of gross primary production (GPP), respiration (R) and, by difference, net ecosystem production (NEP) by the open-water diel oxygen technique and in situ chamber incubations showed high importance of shallow eelgrass habitats for metabolism at the system scale. Seasonal variations in GPP, R and NEP increased with light availability and temperature with highest NEP in all habitats during the warm and sunny mid-summer. The shallow eelgrass-dominated and neighboring habitats were seasonally net autotrophic (NEP = 0.54 and 0.31 mg O 2 m -2 d -1 , respectively), compared to net heterotrophy (NEP = -0.26 mg O 2 m -2 d -1 ) at the deeper muddy site. Detailed studies along depth gradients further confirmed the role of eelgrass as a key driver of spatial differences in ecosystem metabolism across the estuary. Strong northerly winds (&gt;8 m s -1 ) caused short-term (&lt;24 h) periods of similar oxygen dynamics and similar apparent productivity in shallow and deeper waters, indicative of efficient lateral mixing, while calm periods (&lt;4 m s -1 ) enabled formation of ‘pockets’, i.e. water masses with limited connectivity, which exacerbated the metabolic differences between shallow and deep sites.","Staehr, Peter A;Asmala, Eero;Carstensen, Jacob;Krause-Jensen, Dorte;Reader, Heather","Scholarly Journals",2018,601,"2100381185","proquest",21,"RP","LY",NA,NA,NA,NA,NA,NA,NA
"effect of hydrological connectivity on the phosphorus buffering capacity of an urban floodplain","Floodplains can perform nutrient buffering functions and therefore influence the riverine nutrient dynamics depending on the extent of the hydrological connectivity. This work focused on quantifying the adsorption/desorption potential of a degraded floodplain of the Danube River (Lower Lobau) based on sediment characterization (grain size distribution, organic content, and P-fractions) and sediment type-specific P-adsorption via batch experiments. We established an adsorption/desorption budget model with a high temporal and spatial resolution. With this model, we identified spatial patterns related to hydrology and calculated the phosphorus buffering capacity of permanent and temporary floodplain water bodies. Sediment characteristics were defined by the distance to the inflow area and the hydrological connectivity of the floodplain water bodies. The main factor for the concentration of total phosphorus (Ptot) in the sediments was the grain size distribution. Ptot was ten times higher in silt-dominated sediments compared to gravel-dominated sediments. Inorganic phosphorus (Pinorg) ranged between 36 and 90% depending on the organic content of the sediments. Both the adsorption and the desorption potential of SRP (soluble reactive phosphorus) were highest in large, frequently connected water bodies and were strongly controlled by hydrology. The total adsorption potential of the floodplain was up to 40 times higher in wet years (e.g., 2002) than in dry years (e.g., 2003), when floodplain water bodies were connected less frequently to the main channel of the Danube. Up to 75% of the adsorbed SRP was desorbed and released into the water column after periods of connection. Consequently, SRP adsorption directly reduced the P-load in the Danube River main channel. The adsorption/desorption mechanisms worked as a buffering system by taking up the SRP imported during floods and releasing it over a longer period after the floods. This stimulated high primary production in the floodplain water bodies and impacted the overall P-retention of the floodplain.","Preiner, Stefan;Bondar-Kunze, Elisabeth;Pitzl, Beate;Weigelhofer, Gabriele;Hein, Thomas","Scholarly Journals",2020,NA,"2435334395","proquest",22,"MB","LY",NA,NA,NA,NA,NA,NA,NA
"effects and prediction of nonpoint source pollution on the structure of aquatic food webs","Nonpoint source pollution entering rivers will pollute water quality, degrading the health of aquatic ecosystems. However, owing to the lack of quantitative research on the effects of nonpoint source pollution on the structure of aquatic food webs, there is a lack of quantitative basis for river management. Nonpoint source pollution is not only difficult to control effectively, but also the success rate of water ecological restoration projects is low. With the increasing proportion of nonpoint source pollution in water environmental problems, it is urgent to quantitatively assess and predict the impact of nonpoint source pollution on the structure of food webs. Therefore, this thesis presents a method for quantitatively assessing and predicting the impact of nonpoint source pollution on the structure of food webs through using fuzzy clustering to screen the typical points of the impact of nonpoint source pollution, then using canonical correspondence analysis (CCA) and partial least squares regression analysis to comprehensively filtrate the driving factors affect food web that results in nonpoint source pollution, and then determining the impact of each driving factor on the structure of food webs. Finally, the change trend of food web structure is predicted. The results show that (1) the driving factors that the nonpoint source pollution that affects the food web structure is NH 3 ‐N and chemical oxygen demand (COD). The increase in NH 3 ‐N and COD promotes the growth of phytoplankton, causing the change of the primary productivity of the ecosystem, and ultimately changes the entire food web structure; (2) NH 3 ‐N and COD affect the stability, maturity, connectivity and complexity of the aquatic food web structure. The increase of NH 3 ‐N increases the connectivity and maturity of the food web structure but reduces complexity and stability; the increase of COD increases the connection of the food web structure, while reducing the other three indicators; (3) in some areas with good water quality, aquatic species diversity is high, the relationship of interspecies dietary is complex, food web structure level index is high and the structure of food web is stable. The food web structure in the rainy season will be better than that in the dry season. In some areas with severe water pollution and poor food web structure, the ability of the food web to resist external interference is weak. The food web structure in the rainy season will be worse than that in the dry season owing to rainfall into the river. The methods and conclusions in this treatise can provide a reliable and quantitative scientific basis for river ecosystem management and ecosystem restoration and can improve the success rate of ecological restoration projects.","Zhao, Chang S;Pan, Xu;Yang, Sheng T;Xiang, Hua;Zhao, Jin;Gan, Xin J;Ding, Su Y;Yu, Qiang","Scholarly Journals",2021,14,"2478074154","proquest",23,"CP","DC",NA,NA,NA,NA,NA,NA,NA
"effects of hydrologic connectivity on water chemistry, soils, and vegetation structure and function in an intermontane depressional wetland landscape","Historically, depressional wetlands have been viewed as small, closed basins without a naturally integrated inter-wetland surface drainage system. In this view, landscape-level connectivity is limited to surface water as overland flow. Contrasting with this view, conceptual prairie pothole ground-water models have relied on ground-water connectivity to explain inter-wetland differences in salinity, duration of inundation, and vegetation structure. To help clarify this contrast, we compared differences in hydrology, ground-water connectivity, near-surface soil moisture, geomorphology, water chemistry, and vegetation community structure and productivity for a suite of depressional wetlands in an intermontane prairie of western Montana. We compared depressional wetlands with and without temporary (< 4 wk) surface-water and/or soil-water connections. Connected wetlands had significantly smaller catchments, but stored more water, stored water longer, and had higher specific conductance than did isolated wetlands. Connected wetlands also had higher net primary productivity and a different plant community composition than did isolated wetlands. Comparisons of study site hydrology, water chemistry, and soil development found strong evidence for no ground-water exchange among any of the wetlands. The absence of ground water connection among these intermontane depressional wetlands emphasizes the importance of temporary surface-water and soil-water connections in depressional wetland ecology, as well as the need to understand the landscape scale variation of dissolved solutes and the distribution, abundance, and productivity of wetland plants among depressional wetlands and across wetland landscapes.","Cook, B J;Richard Hauer, F","Scholarly Journals",2007,27,"20867134","proquest",24,"LY","PG",NA,NA,NA,NA,NA,NA,NA
"environmental factors affecting incorporation of terrestrial material into large river food webs","Three enduring conceptual models make predictions regarding the basal production sources supporting the upper food web of rivers: the River Continuum Concept, the Flood Pulse Concept, and the Riverine Productivity Model. Sources of primary production supporting metazoan biomass might best be understood by using a pluralistic approach that views basal sources as a dependent variable and key physicochemical and hydrological factors as independent variables. Here, I review studies in which chemical markers (stable-isotope and fatty-acid analyses) were used to estimate dominant primary producers contributing to consumer biomass in large rivers and evaluate associated independent variables (e.g., hydrologic regime, turbidity, concentration of dissolved organic matter, floodplain vegetation, lateral connectivity, and upstream impoundment) that have been hypothesized to contribute to variation in basal production sources. My review shows that C₄ grasses rarely support riverine metazoans and that algae are the predominant source of C supporting upper trophic levels of large rivers worldwide. However, I also found that many consumers assimilate material from C(3) plants in rivers with high sediment loads and low transparency during high-flow pulses. Exceptions to this pattern occur when river reaches are downstream from an impoundment, in which case, algae assume greater importance. Terrestrial C(3) plants also subsidize consumers in rivers with high dissolved organic matter concentrations via the microbial loop and, in other rivers, after periods of high discharge or leaf fall that increase the amount of terrestrial material in the particulate organic matter pool. I highlight the natural causes of differences in turbidity and dissolved organic matter among large rivers and the importance of transported materials as a source of nutrients for ecologically and economically important fish species.","Roach, Katherine A","Scholarly Journals",2013,32,"1753433423","proquest",25,"DC","RP",NA,NA,NA,NA,NA,NA,NA
"evaluating controls on the formation and reservoir architecture of niagaran pinnacle reefs (silurian) in the michigan basin; a sequence stratigraphic approach","Silurian-aged (Niagaran) ""pinnacle"" reefs have been productive in the Michigan Basin for 60+ years, but extensive lateral and vertical heterogeneity limits primary production to as little as 25%. Enhanced recovery efforts are generally focused on water and CO (sub 2) floods, or horizontal drilling, but the connectivity of the reefs laterally and vertically is poorly understood and unpredictable, leading to marginal success in many reefs. Niagaran ""pinnacle"" reef growth has previously been described as continuous growth during a single relative sea level rise. In this model, the characteristic shoaling upward sequence varies from a microbial mound facies at the base, with a stromatoporoid-dominated reef core capped by algal laminites and anhydrites that form a regional seal for many of the reefs in the Basin. Detailed core analysis within a sequence stratigraphic framework, however, indicates that the overall shoaling sequence is made up of higher frequency depositional cycles, each bounded by exposure or flooding surfaces. These tens of meters to meter scale cycles support an episodic reef growth model controlled by multiple fluctuations in relative sea level, and provides a means to predict reservoir quality since porosity and permeability is often related to primary facies in these reefs. Because many cycles contain reservoir facies bounded by low permeability units, the result is often significant vertical compartmentalization. This core-based understanding of the episodic nature of ""pinnacle"" reef growth, as well as the vertical facies successions and resulting impact on reservoir heterogeneity, should lead to enhanced predictability of reservoir architecture from wireline log signatures alone.","Sandomierski, Anthony;Grammer, G Michael;Harrison, William E;Anonymous","Scholarly Journals",2006,15,"2364109858","proquest",26,"PG","LY",NA,NA,NA,NA,NA,NA,NA
"flood disturbance affects macroinvertebrate food chain length in an alluvial river floodplain","Characterising food-web responses to environmental factors could greatly improve our understanding of environment-biota relationships, and especially in floodplains where trophic interactions can be particularly important during phases of hydrological disconnection. The effects of floodplain hydrology and environmental attributes on structural aspects of biotic assemblages have been extensively studied, but responses at the functional level remain largely unknown. Here, we characterised a central aspect of food-web architecture, the food chain length, as the maximum trophic position within 24 macroinvertebrate communities of parafluvial habitats in the Maggia river floodplain, in Switzerland. We investigated how the food chain length changed with different levels of habitat size, primary productivity and disturbance, the three factors potentially affecting food chain length in both theoretical and empirical studies. We found that food chain length was lower in frequently flooded habitats and immediately after a flood. We also showed that trophic omnivory, where predators fed at lower trophic levels after flooding, and in more frequently flooded habitats, may explain these changes. These findings show that trophic omnivory may explain how predators resist disturbance and are maintained in highly dynamic landscapes. More importantly, given that trophic omnivory may overall weaken trophic linkages and thus increase food-web stability, this suggests that it could be a key mechanism in sustaining biodiversity in river floodplains.","Chanut, Pierre C. M.; Siebers, Andre R.; Robinson, Christopher T.","Scholarly Journals",2020,65,"BIOSIS:PREV202000223120","wos",27,"ES","DC",NA,NA,NA,NA,NA,NA,NA
"genetic diversity and connectivity of deep-sea hydrothermal vent metapopulations","AbstractDeep-sea hydrothermal vents provide ephemeral habitats for animal communities that depend on chemosynthetic primary production. Sporadic volcanic and tectonic events destroy local vent fields and create new ones. Ongoing dispersal and cycles of extirpation and colonization affect the levels and distribution of genetic diversity in vent metapopulations. Several species exhibit evidence for stepping-stone dispersal along relatively linear, oceanic, ridge axes. Other species exhibit very high rates of gene flow, although natural barriers associated with variation in depth, deep-ocean currents, and lateral offsets of ridge axes often subdivide populations. Various degrees of impedance to dispersal across such boundaries are products of species-specific life histories and behaviours. Though unrelated to the size of a species range, levels of genetic diversity appear to correspond with the number of active vent localities that a species occupies within its range. Pioneer species that rapidly colonize nascent vents tend to be less subdivided and more diverse genetically than species that are slow to establish colonies at vents. Understanding the diversity and connectivity of vent metapopulations provides essential information for designing deep-sea preserves in regions that are under consideration for submarine mining of precious metals.","VRIJENHOEK, ROBERT C","Scholarly Journals",2010,19,"853471072","proquest",28,"RP","ES",NA,NA,NA,NA,NA,NA,NA
