"title","ID","qc","Abstract","Authors","year","Database_unique","search","qc_notes"
"drought alters the biogeochemistry of boreal stream networks","pro_17",107,"Drought is a global phenomenon, with widespread implications for freshwater ecosystems. While droughts receive much attention at lower latitudes, their effects on northern river networks remain unstudied. We combine a reach-scale manipulation experiment, observations during the extreme 2018 drought, and historical monitoring data to examine the impact of drought in northern boreal streams. Increased water residence time during drought promoted reductions in aerobic metabolism and increased concentrations of reduced solutes in both stream and hyporheic water. Likewise, data during the 2018 drought revealed widespread hypoxic conditions and shifts towards anaerobic metabolism, especially in headwaters. Finally, long-term data confirmed that past summer droughts have led to similar metabolic alterations. Our results highlight the potential for drought to promote biogeochemical shifts that trigger poor water quality conditions in boreal streams. Given projected increases in hydrological extremes at northern latitudes, the consequences of drought for the health of running waters warrant attention.","Gómez-Gener, Lluís;Lupon, Anna;Laudon, Hjalmar;Sponseller, Ryan A",2020,"Agricultural & Environmental Science Collection","pro",""
"echoes of a flood pulse: short-term effects of record flooding of the illinois river on floodplain lakes under ecological restoration","pro_18",51,"The flood pulse drives primary productivity, biotic communities, and abiotic processes in large river systems; however, the effects of floods on restored floodplain lakes and associated wetlands are poorly understood. Record flooding of the Illinois River, Illinois, in 2013 reconnected two floodplain preserves under restoration that had been disconnected from the river by levees for &gt;80&#xa0;years. Differences in hydrological connections between sites created a natural experiment where field-based data collection could be employed to document flood effects. Levee failure and subsequent river connection at Merwin Preserve increased nutrient capture and floodwater retention, shifted microbial and invertebrate communities, increased fish species richness, spawning and nursery habitat, and stimulated production of moist-soil plant communities during summer drawdown that provided foraging habitat for spring-migrating waterfowl. However, increased hydrologic connectivity during the growing season resulted in loss of submersed vegetation and habitat for autumn-migrating waterfowl. In contrast, river water overtopped the levee at Emiquon Preserve during a 6-day event that resulted in marginal changes in the bacterial community and negligible changes in water quality and community diversity. Tradeoffs among ecological services should be carefully considered when reconnection of highly altered rivers to restored lakes and wetlands is proposed.","Lemke, Michael J;Hagy, Heath M;Dungey, Keenan;Casper, Andrew F;Lemke, A Maria;Vanmiddlesworth, T D;Kent, Angela",2017,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"ecohydrology in semiarid urban ecosystems: modeling the relationship between connected impervious area and ecosystem productivity","pro_19",56,"In water-stressed, semiarid urban environments, connections between impervious surfaces and drainage networks may strongly impact the water use and ecosystem productivity of neighboring vegetated areas. We use an ecohydrologic model, the Regional Hydro-Ecological Simulation System (RHESSys), to quantify the sensitivity of vegetation water use and net primary productivity (NPP) to fine-scale impervious surface connectivity. We develop a set of very fine-scale (2 m super(2)) scenarios that vary both the percentage of impervious surface and fraction of this impervious surface with direct hydrologic connections to urban drainage systems for a small hillslope. When driven by Mediterranean climate forcing, model estimates suggest that total vegetation water use declines with increasing impervious area. However, when impervious area is hydrologically disconnected from the urban drainage network, declines in water and carbon fluxes with decreased vegetated area can be partially, or in some cases even completely, offset by increased transpiration and NPP in the remaining vegetation. Relative increases in water use and NPP of remaining vegetation are much greater for deeply rooted shrubs and trees and negligible for shallow rooted grasses. We extrapolate our findings to the catchment scale by developing a first-order approximation of fine-scale impervious connection impacts on aggregate watershed water and carbon flux estimates. Our approach offers a computationally and data-efficient method for estimating the impact of impervious area connectivity on these ecohydrologic fluxes. For our only partially urbanized Santa Barbara watershed, estimates of water use and NPP that account for fine-scale impervious connection differed by more than 10% from those that did not. Key Points: * An efficient method for estimating ecohydrologic impacts of impervious area connectivity * Runoff from disconnected impervious area can increase productivity in urban vegetation","Shields, Catherine;Tague, Christina",2015,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"ecosystem metabolism and nutrient dynamics in the main channel and backwaters of the upper mississippi river","pro_20",173,"Photosynthesis and respiration are primary drivers of dissolved oxygen dynamics in rivers. We measured dissolved oxygen dynamics, aquatic ecosystem metabolism, algal abundance and nutrient concentrations at main channel and backwater sites on a reach of the Upper Mississippi River that borders the states of Wisconsin and Minnesota (U.S.A.). We asked (i) how ecosystem metabolism rates, dissolved oxygen dynamics and nutrient concentrations differed in the main channel and in backwaters, (ii) whether ecosystem metabolism relates to solar irradiance, nutrient concentration, algal abundance, temperature and river discharge and (iii) whether the relationships between ecosystem metabolism and these environmental factors differs between the main channel and backwaters. The rates of aquatic ecosystem metabolism in the main channel were among the highest reported for large rivers. Mean daily gross primary production (GPP), ecosystem respiration (R) and net ecosystem production (NEP) in the main channel in the 2006 growing season were 10, 6 and 4g O(2)m(2) d(-1), respectively. Solar irradiance, discharge and temperature, rather than nutrients, accounted for most temporal variability in gross primary production (GPP). Discharge was negatively associated with GPP in the main channel and temperature positively associated with GPP in backwaters. Primary production consistently exceeded respiration in the main channel in summer, resulting in persistent oxygen supersaturation from late June to early August. Maximum chlorophyll concentrations (140g L-1) were observed in the main channel, rather than the backwaters. Nitrogen and phosphorus exhibited contrasting temporal patterns in backwaters probably reflecting differences in their sources and sinks; N declined during the growing season while P increased.","Houser, Jeffrey N.; Bartsch, Lynn A.; Richardson, William B.; Rogala, James T.; Sullivan, John F.",2015,"BiosisPreview","pro",""
"ecosystem metabolism of benthic and pelagic zones of a shallow productive estuary: spatio-temporal variability","pro_21",49,"Long-term deterioration of water quality is known to reduce the importance of benthic ecosystem metabolism in shallow coastal ecosystems, but drivers of spatial and short-term variability in ecosystem metabolism are poorly understood. We addressed this knowledge gap through detailed seasonal measurements of ecosystem metabolism across depth gradients from shallow (2 to 3 m) eelgrass-dominated to deeper (4 to 5 m) muddy regions of a shallow, productive estuary. Combined measurements of gross primary production (GPP), respiration (R) and, by difference, net ecosystem production (NEP) by the open-water diel oxygen technique and in situ chamber incubations showed high importance of shallow eelgrass habitats for metabolism at the system scale. Seasonal variations in GPP, R and NEP increased with light availability and temperature with highest NEP in all habitats during the warm and sunny mid-summer. The shallow eelgrass-dominated and neighboring habitats were seasonally net autotrophic (NEP = 0.54 and 0.31 mg O 2 m -2 d -1 , respectively), compared to net heterotrophy (NEP = -0.26 mg O 2 m -2 d -1 ) at the deeper muddy site. Detailed studies along depth gradients further confirmed the role of eelgrass as a key driver of spatial differences in ecosystem metabolism across the estuary. Strong northerly winds (&gt;8 m s -1 ) caused short-term (&lt;24 h) periods of similar oxygen dynamics and similar apparent productivity in shallow and deeper waters, indicative of efficient lateral mixing, while calm periods (&lt;4 m s -1 ) enabled formation of ‘pockets’, i.e. water masses with limited connectivity, which exacerbated the metabolic differences between shallow and deep sites.","Staehr, Peter A;Asmala, Eero;Carstensen, Jacob;Krause-Jensen, Dorte;Reader, Heather",2018,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"effect of hydrological connectivity on the phosphorus buffering capacity of an urban floodplain","pro_22",104,"Floodplains can perform nutrient buffering functions and therefore influence the riverine nutrient dynamics depending on the extent of the hydrological connectivity. This work focused on quantifying the adsorption/desorption potential of a degraded floodplain of the Danube River (Lower Lobau) based on sediment characterization (grain size distribution, organic content, and P-fractions) and sediment type-specific P-adsorption via batch experiments. We established an adsorption/desorption budget model with a high temporal and spatial resolution. With this model, we identified spatial patterns related to hydrology and calculated the phosphorus buffering capacity of permanent and temporary floodplain water bodies. Sediment characteristics were defined by the distance to the inflow area and the hydrological connectivity of the floodplain water bodies. The main factor for the concentration of total phosphorus (Ptot) in the sediments was the grain size distribution. Ptot was ten times higher in silt-dominated sediments compared to gravel-dominated sediments. Inorganic phosphorus (Pinorg) ranged between 36 and 90% depending on the organic content of the sediments. Both the adsorption and the desorption potential of SRP (soluble reactive phosphorus) were highest in large, frequently connected water bodies and were strongly controlled by hydrology. The total adsorption potential of the floodplain was up to 40 times higher in wet years (e.g., 2002) than in dry years (e.g., 2003), when floodplain water bodies were connected less frequently to the main channel of the Danube. Up to 75% of the adsorbed SRP was desorbed and released into the water column after periods of connection. Consequently, SRP adsorption directly reduced the P-load in the Danube River main channel. The adsorption/desorption mechanisms worked as a buffering system by taking up the SRP imported during floods and releasing it over a longer period after the floods. This stimulated high primary production in the floodplain water bodies and impacted the overall P-retention of the floodplain.","Preiner, Stefan;Bondar-Kunze, Elisabeth;Pitzl, Beate;Weigelhofer, Gabriele;Hein, Thomas",2020,"Agricultural & Environmental Science Collection","pro",""
"effects and prediction of nonpoint source pollution on the structure of aquatic food webs","pro_23",42,"Nonpoint source pollution entering rivers will pollute water quality, degrading the health of aquatic ecosystems. However, owing to the lack of quantitative research on the effects of nonpoint source pollution on the structure of aquatic food webs, there is a lack of quantitative basis for river management. Nonpoint source pollution is not only difficult to control effectively, but also the success rate of water ecological restoration projects is low. With the increasing proportion of nonpoint source pollution in water environmental problems, it is urgent to quantitatively assess and predict the impact of nonpoint source pollution on the structure of food webs. Therefore, this thesis presents a method for quantitatively assessing and predicting the impact of nonpoint source pollution on the structure of food webs through using fuzzy clustering to screen the typical points of the impact of nonpoint source pollution, then using canonical correspondence analysis (CCA) and partial least squares regression analysis to comprehensively filtrate the driving factors affect food web that results in nonpoint source pollution, and then determining the impact of each driving factor on the structure of food webs. Finally, the change trend of food web structure is predicted. The results show that (1) the driving factors that the nonpoint source pollution that affects the food web structure is NH 3 ‐N and chemical oxygen demand (COD). The increase in NH 3 ‐N and COD promotes the growth of phytoplankton, causing the change of the primary productivity of the ecosystem, and ultimately changes the entire food web structure; (2) NH 3 ‐N and COD affect the stability, maturity, connectivity and complexity of the aquatic food web structure. The increase of NH 3 ‐N increases the connectivity and maturity of the food web structure but reduces complexity and stability; the increase of COD increases the connection of the food web structure, while reducing the other three indicators; (3) in some areas with good water quality, aquatic species diversity is high, the relationship of interspecies dietary is complex, food web structure level index is high and the structure of food web is stable. The food web structure in the rainy season will be better than that in the dry season. In some areas with severe water pollution and poor food web structure, the ability of the food web to resist external interference is weak. The food web structure in the rainy season will be worse than that in the dry season owing to rainfall into the river. The methods and conclusions in this treatise can provide a reliable and quantitative scientific basis for river ecosystem management and ecosystem restoration and can improve the success rate of ecological restoration projects.","Zhao, Chang S;Pan, Xu;Yang, Sheng T;Xiang, Hua;Zhao, Jin;Gan, Xin J;Ding, Su Y;Yu, Qiang",2021,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"effects of chloroplast–cytoplasm exchange and lateral mass transfer on slow induction of chlorophyll fluorescence in characeae","r3_07",84,"Rapid cytoplasmic streaming in characean algae mediates communications between remote cell regions exposed to uneven irradiance. The metabolites exported from brightly illuminated chloroplasts spread along the internode with the liquid flow and cause transient changes in chlorophyll fluorescence at cell areas that are exposed to dim light or placed shortly in darkness. The largest distance to which the photometabolites can be transported has not yet been determined. Neither is it known if lateral transport has an influence on the induction of chlorophyll fluorescence. In this study, the relations between spatial connectivity of anchored chloroplasts in characean internodes and fluorescence induction curves were examined. Connectivity between remote cell parts was pronounced upon illumination of a cell spot at a distance up to 10 mm from the area of fluorescence measurement, provided the spot was located upstream in the cytoplasmic flow. Spatial interactions between distant cell sites were also manifested in strikingly different slow stages of fluorescence induction caused by narrow‐ and wide‐field illumination. Cytochalasin D, cooling of bath solution, and inactivation of light‐dependent envelope transporters were used to disturb cyclosis‐mediated spatial interactions. Although fluorescence induction curves induced by narrow‐ and wide‐field illumination differed greatly under control conditions, they became similar after the inhibition of cyclosis with cytochalasin D. The results indicate that cytoplasmic streaming not only drives the lateral translocation of photometabolites but also promotes the export of reducing power from illuminated chloroplasts due to flushing the chloroplast surface and keeping sharp concentration gradients.","Bulychev, Alexander A;Cherkashin, Alexander A;Shapiguzov, Stepan Yu;Alova, Anna V",2021,"Agricultural & Environmental Science Collection","chla",""
"effects of flow variation on channel and floodplain biota and habitats of the sacramento river, california, usa","chl_20",154,"1. Despite progress in the development of conceptual models of river processes, the validation and application of these models to conservation may be limited by a deficit of tools for intermediate-scale (1-100km) reaches. A model was developed to examine the effect of variation in flow on the responses of two trophic levels in a large temperate river (Sacramento River) and its seasonal floodplain (Yolo Bypass). Field data and hydrologic simulations were evaluated for three hydrologically diverse years. 2. The simulations showed much more hydrologic variability in the floodplain than the river, with greater total surface and shallow area, longer hydraulic residence times, and lower water velocities for the floodplain. 3. Chlorophyll a levels were significantly higher in the floodplain than in the river, and were negatively associated with flow. These results were consistent with longer hydraulic residence times, increased surface area of shallow water, and warmer water temperatures. 4. Copepods and cladoceran densities were similar in the river and its floodplain, and were mostly negatively associated with flow. 5. There were significantly higher densities of Diptera and terrestrial invertebrates in the floodplain than the river. Diptera densities in the floodplain were positively associated with flow. 6. These results provide evidence of the incremental value of floodplain habitat to the conservation of large rivers. In particular, it appears that providing river floodplain connectivity can enhance production of lower trophic levels at relatively rapid time scales, probably benefitting secondary consumers, including Chinook salmon (Onchyrhynchus tshawytscha). Copyright Copyright 2004 John Wiley & Sons, Ltd.","Sommer, Ted R.; Harrell, William C.; Solger, Anke Mueller; Tom, Brad; Kimmerer, Wim",2004,"BiosisPreview","chla",""
"effects of hydrologic connectivity on water chemistry, soils, and vegetation structure and function in an intermontane depressional wetland landscape","pro_24",69,"Historically, depressional wetlands have been viewed as small, closed basins without a naturally integrated inter-wetland surface drainage system. In this view, landscape-level connectivity is limited to surface water as overland flow. Contrasting with this view, conceptual prairie pothole ground-water models have relied on ground-water connectivity to explain inter-wetland differences in salinity, duration of inundation, and vegetation structure. To help clarify this contrast, we compared differences in hydrology, ground-water connectivity, near-surface soil moisture, geomorphology, water chemistry, and vegetation community structure and productivity for a suite of depressional wetlands in an intermontane prairie of western Montana. We compared depressional wetlands with and without temporary (< 4 wk) surface-water and/or soil-water connections. Connected wetlands had significantly smaller catchments, but stored more water, stored water longer, and had higher specific conductance than did isolated wetlands. Connected wetlands also had higher net primary productivity and a different plant community composition than did isolated wetlands. Comparisons of study site hydrology, water chemistry, and soil development found strong evidence for no ground-water exchange among any of the wetlands. The absence of ground water connection among these intermontane depressional wetlands emphasizes the importance of temporary surface-water and soil-water connections in depressional wetland ecology, as well as the need to understand the landscape scale variation of dissolved solutes and the distribution, abundance, and productivity of wetland plants among depressional wetlands and across wetland landscapes.","Cook, B J;Richard Hauer, F",2007,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"effects of lake-basin morphological and hydrological characteristics on the eutrophication of shallow lakes in eastern china","chl_21",99,"The Yangtze River floodplain contains numerous oxbow or riverine lakes, all of which were openly connected with the Yangtze River or its major tributaries prior to 1950s. However, stresses resulting from human settlement and utilization of catchment resources have exerted great pressures on these lake ecosystems changing their morphology, connectivity and trophic state lakes. This study examined the interaction of these changes and their impact on eutrophication for 90 shallow lakes in eastern China in 2008 to 2011. TN and TP in the study lakes had negative relationships with mean water depth (Zmean), but no single lake-basin characteristic was found to dominate chlorophyll-a (Chl-a) growth. Instead, water depth and surface area were found to interactively affect Chl-a concentrations in smaller lakes. That is, Chl-a concentration in the lakes with Zmean&gt;2m and surface area (SA)¤25km2 was significantly higher than that in relatively larger lakes with Zmean&gt;2m and SA&gt;25km2 (p-value¤0.038). Chl-a concentration was higher in the lakes located within the lower Yangtze River basin which had longer retention times, than in the lakes located within the middle Yangtze River basin, where flow velocity is relatively larger. As expected, the water quality was found to be better in the lakes hydraulically connected with rivers than in those isolated from the river. This study revealed that lake-basin morphology and hydrology dominated algal blooms in the highly eutrophic shallow lakes in eastern China.","Huang, Jian;Xu, Qiujin;Beidou Xi;Wang, Xixi;Jia, Keli;Huo, Shouliang;Su, Jing;Zhang, Ting;Li, Caole",2014,"Agricultural & Environmental Science Collection","chla",""
"environmental factors affecting incorporation of terrestrial material into large river food webs","pro_25",61,"Three enduring conceptual models make predictions regarding the basal production sources supporting the upper food web of rivers: the River Continuum Concept, the Flood Pulse Concept, and the Riverine Productivity Model. Sources of primary production supporting metazoan biomass might best be understood by using a pluralistic approach that views basal sources as a dependent variable and key physicochemical and hydrological factors as independent variables. Here, I review studies in which chemical markers (stable-isotope and fatty-acid analyses) were used to estimate dominant primary producers contributing to consumer biomass in large rivers and evaluate associated independent variables (e.g., hydrologic regime, turbidity, concentration of dissolved organic matter, floodplain vegetation, lateral connectivity, and upstream impoundment) that have been hypothesized to contribute to variation in basal production sources. My review shows that C4 grasses rarely support riverine metazoans and that algae are the predominant source of C supporting upper trophic levels of large rivers worldwide. However, I also found that many consumers assimilate material from C3 plants in rivers with high sediment loads and low transparency during high-flow pulses. Exceptions to this pattern occur when river reaches are downstream from an impoundment, in which case, algae assume greater importance. Terrestrial C3 plants also subsidize consumers in rivers with high dissolved organic matter concentrations via the microbial loop and, in other rivers, after periods of high discharge or leaf fall that increase the amount of terrestrial material in the particulate organic matter pool. I highlight the natural causes of differences in turbidity and dissolved organic matter among large rivers and the importance of transported materials as a source of nutrients for ecologically and economically important fish species.","Roach, Katherine A",2013,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"evaluating controls on the formation and reservoir architecture of niagaran pinnacle reefs (silurian) in the michigan basin; a sequence stratigraphic approach","pro_26",128,"Silurian-aged (Niagaran) ""pinnacle"" reefs have been productive in the Michigan Basin for 60+ years, but extensive lateral and vertical heterogeneity limits primary production to as little as 25%. Enhanced recovery efforts are generally focused on water and CO (sub 2) floods, or horizontal drilling, but the connectivity of the reefs laterally and vertically is poorly understood and unpredictable, leading to marginal success in many reefs. Niagaran ""pinnacle"" reef growth has previously been described as continuous growth during a single relative sea level rise. In this model, the characteristic shoaling upward sequence varies from a microbial mound facies at the base, with a stromatoporoid-dominated reef core capped by algal laminites and anhydrites that form a regional seal for many of the reefs in the Basin. Detailed core analysis within a sequence stratigraphic framework, however, indicates that the overall shoaling sequence is made up of higher frequency depositional cycles, each bounded by exposure or flooding surfaces. These tens of meters to meter scale cycles support an episodic reef growth model controlled by multiple fluctuations in relative sea level, and provides a means to predict reservoir quality since porosity and permeability is often related to primary facies in these reefs. Because many cycles contain reservoir facies bounded by low permeability units, the result is often significant vertical compartmentalization. This core-based understanding of the episodic nature of ""pinnacle"" reef growth, as well as the vertical facies successions and resulting impact on reservoir heterogeneity, should lead to enhanced predictability of reservoir architecture from wireline log signatures alone.","Sandomierski, Anthony;Grammer, G Michael;Harrison, William E;Anonymous",2006,"GeoRef","pro",""
"factors influencing algal biomass in intermittently connected, subtropical coastal ponds","chl_22",30,"Microalgae may contribute more to salt marsh productivity than realized, underscoring the importance of understanding algal dynamics in such systems. Benthic and planktonic chlorophyll-a (surrogate for total algal biomass), sediment ash-free dry weight, total suspended solids, salinity, and nutrients were examined in intermittently connected marsh ponds in the subtropical Guadalupe Estuary, Texas, USA to determine the effects of hydrologic connections on algal biomass in this system. From May 2005 to May 2006, several high water events resulting in surface water connections between ponds and nearby tidal creeks occurred, followed by disconnection and, at times, pond desiccation. During periods of disconnection, algal biomass was higher in both the benthos and the water column than during connection events when flushing occurred. Since connection events did not increase NOx, the primary source of dissolved inorganic nitrogen seemed to be nutrient cycling within the ponds. Data at the aggregated level, i.e., chlorophyll-a, indicated this system followed the flood pulse concept. During high water events, algal biomass may be exported to supplement the tidal creek food web (aquatic), whereas during low water events accumulated biomass within the ponds feed the marsh food web (terrestrial), which includes blue crabs (Callinectes sapidus) and the whooping crane (Grus americana).","Miller, Carrie J;Davis, Stephen E;Roelke, Daniel L;Li, Hsiu-Ping;Driffill, Matthew J",2009,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"fish assemblages of tropical floodplain lagoons: exploring the role of connectivity in a dry year","chl_23",147,"Irregular rainfall and pronounced reductions of the hydrometric level in the year 2000 resulted in drastically altered hydrological connectivity of lentic environments in the upper Parana River floodplain. The objective of the present work was to examine spatial and temporal patterns of fish assemblage attributes and structure in relation to limnological variables associated with hydrological connectivity. Fish were collected quarterly by seining in the marginal areas of 15 lagoons belonging to two biotopic categories (connected and disconnected). Variation, in assemblage composition reflected the degree of hydrological connectivity. Values of assemblage attributes (species richness, density and biomass) were significantly lower in connected lagoons than in disconnected lagoons. Significantly higher values of species richness and biomass were recorded in November than in August. Rare species had the greatest effect on observed patterns in fish assemblage ordination (DCA). Observed patterns of variation in assemblage attributes were directly correlated with factors related to hydrological connectivity, such as depth, resources (zooplankton and chlorophyll a) and nutrients (total phosphorus).","Petry, Ana Cristina; Agostinho, Angelo Antonio; Gomes, Luiz Carlos",2003,"BiosisPreview","chla",""
"flood disturbance affects macroinvertebrate food chain length in an alluvial river floodplain","pro_27",174,"Characterising food-web responses to environmental factors could greatly improve our understanding of environment-biota relationships, and especially in floodplains where trophic interactions can be particularly important during phases of hydrological disconnection. The effects of floodplain hydrology and environmental attributes on structural aspects of biotic assemblages have been extensively studied, but responses at the functional level remain largely unknown. Here, we characterised a central aspect of food-web architecture, the food chain length, as the maximum trophic position within 24 macroinvertebrate communities of parafluvial habitats in the Maggia river floodplain, in Switzerland. We investigated how the food chain length changed with different levels of habitat size, primary productivity and disturbance, the three factors potentially affecting food chain length in both theoretical and empirical studies. We found that food chain length was lower in frequently flooded habitats and immediately after a flood. We also showed that trophic omnivory, where predators fed at lower trophic levels after flooding, and in more frequently flooded habitats, may explain these changes. These findings show that trophic omnivory may explain how predators resist disturbance and are maintained in highly dynamic landscapes. More importantly, given that trophic omnivory may overall weaken trophic linkages and thus increase food-web stability, this suggests that it could be a key mechanism in sustaining biodiversity in river floodplains.","Chanut, Pierre C. M.; Siebers, Andre R.; Robinson, Christopher T.",2020,"BiosisPreview","pro",""
"floodplain lake assessment and fish assemblage dynamics in the mississippi alluvial valley (mississippi alluvial valley)","chl_24",20,"Floodplain lakes in the Mississippi Alluvial Valley (MAV) provide valuable freshwater resources for states in which they occur. Thirty lakes in portions of Mississippi and Arkansas were surveyed for chlorophyll-a fluorescence and turbidity using handheld meters to determine relationships between chlorophyll-a concentrations and suspended solids. High applicability of handheld meters in the MAV presents economic benefits for monitoring the numerous lakes in the region. Additionally, twelve lakes within Bear Creek watershed, Mississippi were studied to determine how hydrologic connectivity shapes fish communities. Isolated and permanently connected floodplain lakes exhibited characteristically lacustrine and rheophilic fish communities, respectively, diversifying fishery management opportunities. Lastly, spring diel temperature and oxygen dynamics, as well as juvenile fish communities, were assessed within three habitats in a floodplain lake - pelagic environment, margin and contiguous wetlands. Variability in temperature and oxygen across the three habitats promotes spring habitat heterogeneity while supporting distinct but overlapping juvenile fish assemblages.","Steiner Andrews, Caroline Noelle",2013,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"floods increase similarity among aquatic habitats in river-floodplain systems","chl_25",36,"During low water levels, habitats in river-floodplain systems are isolated from each other and from the main river. Oppositely, floods tend to connect water bodies with distinct hydrological characteristics and, as a result, ecological processes and biological communities tend to be more similar among the distinct habitats that comprise a river-floodplain system. Based on a literature review and also using unpublished data obtained in tropical floodplains, the aim of this paper is to highlight the effects of floods as a process that reduce spatial variability. The usual negative relationship between the coefficient of variation of any ecological indicator (e.g., chlorophyll-a or total phosphorus) and water level is the main result demonstrating a reduction in spatial variability due to floods. Considering physical, chemical or biotic data gathered in distinct habitats within the floodplain, this pattern was found in temperate and tropical regions, subjected to distinct levels of anthropogenic impacts, and at different spatial extents. The main mechanism that accounts for this pattern may be stated as follow. During low water level, the biological communities of each habitat in the floodplain (e.g. lagoons, backwater, streams) follow distinct temporal trajectories due to the effects of local driving forces (e.g. an efficient predator trapped in a lagoon but not in another). Management plans and biodiversity conservation in river floodplain systems will benefit by considering the effects of flood homogenization and increased connectivity peculiar to these unique ecosystems.[PUBLICATION ABSTRACT]","Thomaz, Sidinei M;Bini, Luis Mauricio;Bozelli, Reinaldo Luiz",2007,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"freshwater inflow and responses from estuaries across a climatic gradient: an assessment of northwestern gulf of mexico estuaries based on stable isotopes","chl_26",149,"Estuaries exist across a large climatic gradient in the northwestern Gulf of Mexico, capturing a range of hydrologic conditions and estuarine functioning. We examined freshwater inflow, salinity, and stable isotope compositions (delta C-13, delta N-15) of oysters, suspended particulate organic matter (SPOM), and surface sediment organic matter (SSOM) from five estuaries across the hydrologic gradient. All five estuaries experienced large decreases in freshwater inflow over the last 40 yr, with three estuaries being subject to freshwater inflow reductions of more than 85%. Generally, these freshwater inflow decreases were associated with estuarine salinity increases. Across the spatial gradient, average salinity generally increased from northeast to southwest estuaries. SPOM in the northeastern, lower salinity estuaries generally contained more continental organic matter and was of higher quality (i.e., lower C/chlorophyll a ratio), as compared to southwestern, higher salinity estuaries. Similarly, both SSOM and oyster delta C-13 values were positively correlated with salinity, further highlighting that food webs in lower salinity estuaries are more greatly influenced by continental organic matter than those in higher salinity estuaries. A decrease in the connectivity between continental and coastal habitats may have broad consequences for flows of organic matter, and estuarine function and health. Conducting studies across large-scale hydrologic gradients can provide a useful approach to informing and predicting shifts in estuarine functioning.","Marshall, Danielle A.; La Peyre, Megan K.; Palmer, Terence A.; Guillou, Gael; Sterba-Boatwright, Blair D.; Pollack, Jennifer Beseres; Lebreton, Benoit",2021,"BiosisPreview","chla",""
"functional indicators of stream health: a river-basin approach","chl_27",27,"Summary1. The efficacy of leaf-litter decomposition, sediment respiration, biofilm biomass, growth, chlorophyll a concentration and the autotrophic index (biofilm ash-free dry mass-chlorophyll a) and fungal biomass for detecting human-induced change was evaluated using 24 references and 15 disturbed stream sites located in central Portugal.2. Decomposition rates of alder (Alnus glutinosa) and oak (Quercus robur) leaves and sediment respiration rates were effective in discriminating impairment. Decomposition was negatively correlated with abiotic factors, such as ammonium and nitrite concentrations, connectivity and alterations in the hydrological regime, and positively correlated with nitrate concentration and oxygen concentration. Sediment respiration rates were correlated with organic contamination, land use and morphological changes.3. Growth rates of biofilm, concentration of chlorophyll a and the autotrophic index, although 41-73% higher at disturbed compared to reference sites, were not significantly different. These three variables were significantly correlated with total organic carbon, oxygen concentration, pH, nitrite and the presence of dams. Fungal biomass on leaves and biofilm biomass on natural substrata did not differ between reference and disturbed sites.4. Our findings lend support to the use of functional variables like decomposition and sediment respiration in monitoring and when used together with structural variables should give a more holistic measure of stream health.","FEIO, MJ;Alves, T;BOAVIDA, M;Medeiros, A;Graca, Mas",2010,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"genetic diversity and connectivity of deep-sea hydrothermal vent metapopulations","pro_28",63,"AbstractDeep-sea hydrothermal vents provide ephemeral habitats for animal communities that depend on chemosynthetic primary production. Sporadic volcanic and tectonic events destroy local vent fields and create new ones. Ongoing dispersal and cycles of extirpation and colonization affect the levels and distribution of genetic diversity in vent metapopulations. Several species exhibit evidence for stepping-stone dispersal along relatively linear, oceanic, ridge axes. Other species exhibit very high rates of gene flow, although natural barriers associated with variation in depth, deep-ocean currents, and lateral offsets of ridge axes often subdivide populations. Various degrees of impedance to dispersal across such boundaries are products of species-specific life histories and behaviours. Though unrelated to the size of a species range, levels of genetic diversity appear to correspond with the number of active vent localities that a species occupies within its range. Pioneer species that rapidly colonize nascent vents tend to be less subdivided and more diverse genetically than species that are slow to establish colonies at vents. Understanding the diversity and connectivity of vent metapopulations provides essential information for designing deep-sea preserves in regions that are under consideration for submarine mining of precious metals.","VRIJENHOEK, ROBERT C",2010,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
