"ID","connectivity_type","connectivity_measure","seasonal_code","repeats_code","chlorophyll","country","watershed","water_body_type","basin_size","site_size","water_body_size","latitude","longitude","year","seasonality","seasons","study_type","connectivity","lateral","longitudinal","hyporheic","spatial","temporal_def","temporal","connectivity_process","connectivity_quantitative","connectivity_metric","connectivity_def","predictors","responses","primary_productivity_metric","chlorophyll_method","chlorophyll_response","p_value","food_web","mean","sd","n","data_published","data_figure","data_analysis_method","include_exclude","notes","regulated","cc_notes","meta_analysis","include_exclude_reason"
"chl_19","2","c","n","n","y","Brazil","Pelotas River","river","35,813 km2","6 sites","Not Specified","28'28'48 S","50'1'44 W","2013, 2014",NA,"n","observational","n","n","n","n","y","na","n","Water level","n","na","na","na","temp, pH, conductivity, DO, turbidity, transparency, color, organic N, NH4, total N, nitrate, nitrite, phosporus, BOD, COD, total solids, suspended solids, dissolved solids, chla","chla","Not Specified","ug/l",NA,"y","n","n","n","n","y","correlation","include","S-CHLAwas inversely correlated with the water level in both river and lagoon sites",NA,NA,NA,NA
"pro_47","0","na","na","na","na","na","na","na","na","na","na","na","na","na","na","n","na","na","n","n","n","na","na","n","na","n","na","na","na","na","na","na","na",NA,"na","n","n","n","n","n",NA,"exclude","Conference abstract",NA,NA,NA,NA
"pro_59","0","na","na","na","n","Austrailia","Macquarie River","wetland","225km2","225km2","Not Specified","15� 37� S;","48� 10� W)","1991-2003","na","n","observational","n","n","n","n","na","na","n","na","n","na","na","na","na","na","na","na",NA,"na","n","n","n","n","n",NA,"exclude","Terrestrial vegetation study not related to project",NA,NA,NA,NA
"chl_20","1, 2","d, e","no","yes","?g L-1","USA","Sacramento River","bypass-floodplain",NA,"partially leveed 24 000 ha floodplain","70 000 km2.","not reported","not reported","1998, 2000, 2001","n","Feb-May","observational","y","y","y","n","y","months in plots but vague about 'seasonality'","y","Sacramento River exceeded about 1500m3 s�1","n","site","Flooding of the Yolo Bypass began when flow in the adjacent Sacramento River exceeded about 1500m3 s�1","daily mean flow, water velocity, residence time, simulated flooded surface area, temperature","Chlorophyll a, crustacean zooplankton community, drift invertebrates","Chlorophyll a","Chlorophyll a was measured as an indicator of phytoplankton biomass in discrete water samples collected weekly","decrease","Chlorophyll a levels were significantly higher in the floodplain than in the river, and were negatively associated with flow. These results were consistent with longer hydraulic residence times, increased surface area of shallow water, and warmer water temperatures","Copepods and cladoceran densities were similar in the river and its floodplain, and were mostly negatively associated with flow, There were significantly higher densities of Diptera and terrestrial invertebrates in the floodplain than the river. Diptera densities in the floodplain were positively associated with flow","n","n","y","n","y","Sign testes and Pearson correlation coefficients for log-transformed data","include",NA,"y","site and event (based on water-level) - river (Sacramento River) and its seasonal floodplain (Yolo Bypass), Feb-May 1998, 2000, 2001","n",NA
"chl_30","na","na","na","na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"exclude",NA,"na","not original research, book",NA,"book"
"chl_31","2","e","no","no","ug 1- 1","USA","Sacramento River","bypass-floodplain",NA,"approx. 61 km long, 24000 ha",NA,"not reported","not reported","2000","n","Jan-Apr","observational","y","y","y","n","n",NA,"n","flood event","y","I 00 m3 s-1","levee overtopping (Feb 14-Mar17)","site, time","Specific conductance (tiS cm- 1 ), dissolved inorganic
specific conudncatnce, disoolved silica, nitrate, nitrite, ammonium, dissolved reactive phosphate, sulfate , sodium, chlorophyll a, and seston C:N ratio in the
Sacramento River at Fremont Weir during the inundation period","chlorophyll a","water samples, Chlorophyll a was extracted with methanol and measured using a Turner Designs Model 10 AU fluorometer","decrease","Concentrations of chlorophyll a in the Yolo Bypass increased briefly in early February, when local streams were discharging to the floodplain, but then decreased and remained low ( <4 11 g 1- 1) until the end of the inundation period. Chlorophyll a had increased at all three Yolo Bypass sites (6-9 J-tg ;- 1) by March 17, the end of the inundation period.Chlorophyll a remained high at all three Yolo Bypass sites and in Ridge Cut through mid-April, and then decreased at the Lower Bypass site after the small storm in late April.",NA,"n","n","n","n","y","none","include","conceptual model we could use, other water chemistry-connecitivity results","y","flood event, Yolo Bypass, Jan-Apr 2000","n",NA
"chl_38","1, 2","c","yes","yes","ug/L","Colombia (11%) and Venezuela (89%)","Cinaruco River","river-floodplain lakes",NA,"lowland tributary on the Orinoco River, ~12 km stretch","basin area 11700 km2","not reported","not reported","2002, 2003","y","monthly, Jan-May and Dec-Jul","observational","Y","Y","Y","N","n","low water: Jan-Apr 2002, Feb-Apr 2003, high water: May & Dec 2002, May-Jul 2003","n","water-level","y","water-level threshold that discriminated the 2 hydrological periods was 290 to 320 cm","water flow in the floodplain lakes and submergence of point sandbars in the main channel","flow (mechanical flow meter), temperature, dissolved O2 (YSI 95 O2 meter), transparency (Secchi disk), conductivity, pH","flow (mechanical flow meter), temperature, dissolved O2 (YSI 95 O2 meter), transparency (Secchi disk), conductivity, pH, NH4, NO3, NO2, urea, soluble reactive P (SRP), and SiO3 concentrations, sediment core samples to examine B-CHLA (chlorophyll a corrected for phaeophytin a) and B-PHAE","S-CHLA, S-PHAE, B-CHLA, and B-PHAE","A Petri dish was pushed into the substrate, and a spatula was placed under the Petri dish to trap the contents during retrieval. The filters and Petri dishes were kept frozen and stored in the dark until analyses were performed. S-CHLA, S-PHAE, B-CHLA, and B-PHAE were determined using the overnight 90% acetone extraction protocol using spectrofluorometric and spectrophotometric methods","decreased","S-CHLAwas inversely correlated with the water level, B-CHLA was highest in the floodplain lakes",NA,"N","N","N","N","Y","ANOVA and Correspondence analysis (ordination)","include","results were variable, descriptive study, but relevant theme, chl was higher with less connecitivty (for a system that was always connected), so seemed to be related to higher water residence time","n","2 hydrological periods with sites in river and lagoon sites (in floodplain lakes that were continuously connected with the main channel), monthly, Jan-May 2002 and Dec-Jul 2003 (wet season is from May to November)","n",NA
"chl_49","1","a","no","no","?g/L","China","Yangtze River, Huai River, YellowRiver and Haihe River","transfer canal (54 pumping station), chain of lakes",NA,"From south to
north, the five impounded lakes of the eastern route of the SNWDP are Gaoyou Lake (GYL), Hongze Lake (HZL), Luoma Lake (LML), Nansi
Lake (NSL) and Dongping Lake (DPL), with a distance of about 146, 301, 427, 622, and 764km respectively fromthe start of thewater diversion",NA,"not reported","not reported","2017","n","Apr-May","observational","y","n","y","n","n",NA,"n","water transfer","n","distance from diversion","site/lake","site/lake","Water temperature, conductivity, dissolved oxygen, pH, Water depth, transparency, chloride, total hardness, TP, PO4, TN, NH4N, NO3N, NO2N, chlorophyll a, suspendeid solids, chemical oxygen demand","chlorophyll a","water samples","increase","The two lakes closer to the source of the diversion system were five to ten times more turbid, had three times more total suspended solids, and twice as much chlorophyll a as the lakes further away","fish communities (i.e., pelagic and benthic multi-mesh gillnets and ground cages)","y","y","n","n","n","PCA, diveristy indices, CCA","include","showed high similarities of fish communities among impounded lakes has promoted connections between previously isolated or partially connected catchments and may have accelerated the remix of fish communities from different catchments.","y","distance from diversion/water transfer canal (54 pumping station) along a chain of lakes, Apr-May 2017","y",NA
"chl_57","1","d","no","yes","TU","Spain","Ebro River","river, upsteam, between and downstream of reservoirs",NA,"350 km","85,362 km2","not reported","not reported","2008, 2009, 2010, 2011, 2012, 2013","n","18 ""campaigns""","observational","n","n","y","n","y (spatial autocorrelation indicators - Moran index)","low water, high water","n","reservoir fragmentation","y","degree of connection between consecutive neighboring sites (river network analysis)","spatial distribution of the biological and environmental variables, separating the variability in the river sections upstream and downstream the reservoirs (site means)- Singular Value Decomposition (SVD) Moran Index Correlation lengths, Quantification of local vs extra-local influences","water temperature, conductivity,water flow and nutrients, dissolved inorganic nitrogen, soluble reactive phosphorus (SRP), Dissolved Inorganic Carbon, Dissolved Organic Carbon  and Dissolved Organic Nitrogen","phytoplankton biomass (biovolume and chlorophyll-a concentration), community structure","phytoplankton biomass (biovolume(cells/ml) and chlorophyll-a concentration)","water samples","decreased with fragmentation","diversity even increased downstream of the reservoirs; the substantial loss of biomass contrasted to the increase of species diversity",NA,"n","n","n","n","n","resilience and resistance, spatial autoregressionmodel","include","Both the overall river as well as the separated two river segments showed that neighbors' effect on the chlorophyll-a was positive, that is, that values in each river sites were influenced by upstream ones. However, that influence of neighbor sites decreases considerably downstream of the dams, leading to individuality. Planktonic chlorophyll-a correlated differently with environmental variables in upstream or downstream sections","y","site (upsteam/downstream), spatial distribution of the biological and environmental variables, separating the variability in the river sections upstream and downstream the reservoirs (including degree of connection between consecutive neighboring sites (e.g., river network analysis, spatial autocorrelation indicators - Moran index)), 2008-2013 (seaonality is unclear, 18 ""campaigns"" from different hydrological conditions, but results presented by site only)","n","was difficult to address connectivity, because they tested fragmentation"
"chl_65","1, 2","d, e","yes","no","?g L?1","Mexico","Usumacinta Basin","river, floodplain-lakes",NA,"San Pedrito (1360.2 ha), La Puerta-Pajaral (178 ha) and San Isidro (139 ha) lakes, lengths of the San Pedrito and San Isidro channels are 2.5 and 8.5 km, respectively. Lakes Canitz�n (510.1 ha) and Nueva Esperanza (400 ha)","73,294.02 km2","not reported","not reported","2015","n","March and December, low water (March-April), rainy season (June-October) and �nortes� (December)","observational","y","y","y","n","n","dry season from February through May and a rainy season from June through October associated with the intertropical convergence zone (lower flows in April-May and higher flows in October �November)","y","flood event","n","Usumacinta River discharge (greater than 5000m3 s?1)","flood that occurred in late November 2015 (two weeks)","site and month","Secchi depth, water temperature, conductivity, dissolved oxygen (concentration and saturation), and pHnitrate (cadmium reduction method), soluble reactive phosphorus (ascorbic acid method), and total phosphorus (persulphate digestion). Total suspended solids, inorganic suspended solids, and percent organic matter, as the proportion of organic suspended matter of TSS, Chlorophyll a","Chlorophyll a","Van Dorn water sampler, hot ethanol extraction","decreased","Chlorophyll a concentrations were higher in the connected lakes than in the river only during the dry season, while the more isolated lakes exhibited higher values through the year, showing signs of eutrophication (p-values).",NA,"n","n","n","n","y","Bivariate Pearson correlations","include","lots of detail on connecitivty: The study lakes showed contrasting patterns in connectivity from permanent connection in the Centla lakes to a short connection phase in the TEZ lakes. In contrast, floodplain lakes in rivers with unimodal discharge patterns such as the Amazon and the Orinoco, exhibit a clear isolation and inundation phases, that can last several months; however, in some large lakes, connection with the main channel can be permanent through small channels or flooded forest","y","lakes permanently connected to the river and in lakes that only received water from the Usumacinta for a short period during peak flow, Mar-Sept 2015 (low water, rainy, “nortes”)","n",NA
"chl_75","1, 2","c","yes","yes","?g L?1","Croatia","Danube River floodplain","floodplain channel and lake",NA,NA,"177 km2","not reported","not reported","2002, 2003, 2004, 2005, 2006, 2007, 2008","y","monthly from summer (July) 2002 to summer (May) 2008, and were not collected during the winters because the study area was frozen","observational","y","y","y","n","n","spring: 21 March to 21 June; summer: 21 June to 23 September; autumn: 23 September to 21 December","y","water-level","n","three hydrological phases (isolation, flow pulse and flood pulse) and according to three seasons (spring, summer and autumn)","isolation (Danube water level <1�67m at Apatin gauge; lentic conditions), 2, flow pulse (>1�67; semilotic or lotic conditions), and 3, flood pulse (>3m; lotic conditions)","hydrological phase and season","pH, conductivity, dissolved oxygen, nitrites, nitrates, ammonium, total Kjeldahl nitrogen, total phosphorus, chlorophyll a concentrations and ratio of copiotrophic to oligotrophic bacteria","Chlorophyll a","spectrophotometrically after filtration of water","decreased","Interannual variability in the Chl a concentration and Co:Ol ratio was pronounced and significantly inversely related to the River Danube water level (r (Chl a) =0�53 (caveat: interaction between flow and seaon - lowest flows in warmest season...)",NA,"n","n","n",NA,"y","permutational multivariate analysis of variance, Canonical Analysis of Principal Coordinates (CAP)","include","intersting take: ""hydrological connectivity is a confounding variable when investigating the impact of seasonal temperature change on dependent variables, and vice versa; seasonal temperature change is a confounding variable when investigating impact of hydrology on dependent variables.""","y","resutls presented by three hydrological phases (isolation (Danube water level <1·67m), flow pulse (>1·67m) and flood pulse(>3m) and three seasons (spring, summer and autumn), sampled monthly, from July 2002 to May 2008, except during the winters because the study area was frozen","n",NA
"chl_9","2","d","yes","no","not reported","Bulgaria","Middle Danube River","river, floodplain, oxbow",NA,"floodplain sidearm (3.4 km long, 60 m wide) and oxbow (4.5 km long and 80 m wide)",NA,"45�58?18.3? N","18�45?57.1? E","2014","y","April-May, July-August and September-October","observational","Y","Y","N","N","n","April-May, July-August and September-October","y","water-level","y","550 cm","site (sidearm more connected than oxbow lake)","site, month","TOC (total organic carbon), DOC (dissolved organic carbon) and TN (total nitrogen), suspended solids, NO3-N, NH4-N, PO4-P, TP (total phosphorus), and Chl-a (chlorophyll-a)","number of bacteria, biomass (in carbon content), biovolumes of cells of different morphological groups, number of detritus particles with attached bacteria","water samples, chl-a, suspended solids?",NA,"The seasonal and spatial development of bacterioplankton and its relation to DOC, PO4-P, TP, NO3-N, NH4-N and chl-a suggest that bacterioplankton actively participates in the decomposition of the dead organic matter and self-purification of water and in remineralisation of nutrients to be used by primary producers (phytoplankton and macrophytes) in the wetlands. The lower bacterioplankton number in summer and autumn is probably connected with the increase of zooplankton pressure and competition with macrophytes and phytoplankton for nutrients.","macrophyte cover","n","n","n","n","n","Redundancy Analysis, one-way ANOVA, nonparametric correlations of Spearman, linear regression","include","very short and incomplete, chl-a is measured, but the study is about bacteria","n","site with water-level (floodplain sidearm more connected than oxbow lake), April-May, July-August and September-October, 2014","n","no relationship between primary productivity and connectivity"
"pro_14","na","na","na","na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"exclude",NA,"na","not original research, review",NA,"not original research"
"pro_35","1, 2","c","no","yes","g m2","Australia","�tropical� Gregory River, Beanes Brook and �dryland� Flinders, Cloncurry River","floodplain river",NA,NA,"Nicholson (52 300 km2) and Flinders (109 400 km2) catchments","not reported","not reported","2005, 2006","y","dry (May�Oct.) and wet (Nov.�Apr.)","observational","y","y","y","n","y","dry (May�Oct.) and wet (Nov.�Apr.)",NA,"the lotic or lentic status of waterbodies","n","catchment, river section, lateral position, flow status","Waterbodies were classified as either lotic or lentic, representing their hydrological connection or disconnection at the time of sampling","hydro-geomorphological and biophysical measures - waterbody (seven variables), within-waterbody (eight variables) and macroinvertebrate habitat (12 variables), Conductivity, salinity and pH, Dissolved oxygen, Light irradiance, Light attenuation, chlorophyll-a, total and dissolved nitrogen and phosphorus, nnd organic and inorganic fractions of suspended
solids","Macroinvertebrate assemblages","ChlS, median biomass chlorophyll-a in littoral-zone sediment (g m2); ChlB, median biomass of chlorophyll-a in littoral-zone biofilm (g m2); reported in a table","three replicate samples each of littoral zone sediment and biofilm",NA,"not reported in relation to connectivity, functional macroinvertebrate composition was explained by areal amount of chlorophyll-a (among other things)","macroinvertebrates (aquatic invertebrates >500 lm)","n","n","n","y","n","taxinomic composition, functional composition and diversity (richness, abuncance, Margalef's index, Berger-Parker index, beta-diversity), ANOSIM, NMDS, correlation, ANOVA","include",NA,"n","Waterbodies were classified as either lotic or lentic, representing their hydrological connection or disconnection at the time of sampling (dry season only (May-Oct) sampling in 2005 and 2006)","n","no relationship between primary productivity and connectivity"
"pro_52","3","a","no","no",NA,"USA","Kenai lowlands (Ninilchik River, Deep Creek, Stariski Creek, and the Anchor River), Alaska","stream-side wetlands, streams",NA,"751 to 83,918 m2 (table)","~9,400 km2","not reported","not reported","2011","n","June and July","observational, experiemntal","y","n","n","y","y",NA,"n","flow path (10 m resolution digital elevation models)","n","alder-near, alder-far (distance along a flow path)","flow paths between alder stands and headwater streams (alder-near (i.e., flow path length <80 m) and alder-far (i.e., flow path length >80 m)","water level, alder distance to stream, hydraulic conductivity, groundwater velocity, fertilizer/no fertilizer","Nitrate-N concentrations in groundwater (mg/L), C. canadensis biomass","soil, foliage and aerial shoots samples - stable nitrogen isotopic composition and C. canadensis biomass",NA,NA,"groundwater nitrate-N concentrations were significantly higher at alder-near sites than at no-alder sites, but did not differ significantly between alder-far sites and no-alder sites or between alder-far sites and alder-near sites",NA,"y","y","n","n","y","ANOVA, Tukey honest significant difference","include","Means (SE) for the Nitrogen Content (%N), Biomass (g/m2) of Calamagrostis canadensis, Biomass (g/m2) of Other Species, and the Percentage of Total Biomass that Was C. canadensis in Control and Fertilized Streamside Wetlands at the Alder-Near, Alder-Far, No-Alder","n","flow path (10 m resolution digital elevation models) used to create categories (alder-near (i.e., flow path length <80 m) and alder-far (i.e., flow path length >80 m), jun/jul 2011","maybe","include only if Nitrogen Content and plant biomass"
"pro_54","0","g","yes","no",NA,"Australia","Murray River","river",NA,"3, 4 km reaches",NA,"not reported","not reported","1998, 1999","n","september (spring) + 15 months","observational","n","n","y","n","n","month","n",NA,NA,"site?",NA,"depth, underwater light profiles, average wetted perimeter, areas of macrophyte bed, macrophyte biomass, variation in tree canopy, ""componeent"" (open water, phytoplankton, benthic algae, course woody debris, detritus), site","gross primary production (gC m-2 y-1), community respiration, net organic matter, standing stock","System metabolism (within each river reach was estimated from diel changes in the dissolved oxygen concentration measured using Clarke-type oxygen sensors fitted to submersible monitoring units), phytoplankton metabolism (Single opaque bottles were incubated at three depths to estimate planktonic respiration rates), chl-a concentration, gross primary production (gC m-2 y-1), community respiration, net organic matter, standing stock","extracting GF/C filtered samples into boiling 90% ethanol and reading absorbonce spectrophotometrically",NA,"chl-a mentioned in methods, but no results shown (only used to calculate bimass?)",NA,"n","n","n","n","y","daily and annual estimates","include","lots of bar charts (gross primary production, community respiration, net organic matter, standing stock)","y","connectivity themes in introduction only, september (spring) + 15 months","n","no relationship between primary productivity and connectivity"
"pro_55","0","h","no","yes","ug/L","USA","Prairie Pothole","lake",NA,"0.04 km2","800,000 km2","45.97N","95.87W","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2005, 2006, 2009, 2010","n","July (peak of growing season)","observational","n","n","n","n","n","year","n",NA,NA,NA,"isolated","year","turbidity, surface water samples (total nitrogen, total phosphorus, chlorophyll a), zooplankton, submerged aquatic macrophytes (C and N), sediment cores(% calcium carbinate), and fish (calcium carbonate flux, organic flux, mineral flux, TP, C:N, radiometric dating of the sediment core, sediment metal concentrations)","chlorophyll a, percent macrophyte coverage of submerged and floating vegetation, C:N and TP of modern aquatic and terrestrial vegetation and the sediment cores, sub-fossil diatom assemblages","water samples",NA,"isolated lake","zooplankton and fish (mentioned in methods, but no results shown)","y","n","n","n","n","Detrended correspondence analysis, PCA","include","that lack of hydrologic connectivity
and isolated, small catchments are important
factors in the promotion of clear-water shallow lake
ecosystems, mainly because they prevent colonization
by fish and associated ecological consequences","n","isolated lake, July (peak of growing season), 1996-2010","n","not about connecitivity (lack of connecitivty mentioned in abstract vaguely applies to study)"
"pro_57","1","b","yes","no",NA,"England","River Avon sub-catchments - rivers Wylye, Nadder, and Sem","spring-fed river",NA,"approximately 150 m","1650 km2 catchment","not reported","not reported","2013, 2014","y","spring, simmer, autumn, winter","experimental","y/n","n","y","n","n","not clearly defined","y","flow","y","ratio between base flow and stream discharge over 9 day period","stream discahre over cross-section flow transects at upstream and downstream ends of site each season","season and geology (by site)","O2 concentration, Bottom drag coef?cient, Conductivity-temperature-depth, Compensation irradiance, Light saturation parameter, Ecosystem respiration, AEC-based turbulent oxygen ?ux , Gross primary production
AEC measurement height, Net ecosystem metabolism, Net ecosystem primary production Dissolved oxygen, Production, Photosynthesis�irradiance Photosynthetically active radiation Maximum production rate, Respiration","respiration rates - Gross primary production (in mmol O2 m-2 d-1), Net ecosystem primary production - O2, light response, stream metabolism",NA,"increased","Sub-catchment speci?c net ecosystem metabolism proved to be positively related to the local hydrological connectivity, quanti?ed as the ratio between base ?ow and stream discharge, and expressed on a timescale of 9 d on average",NA,"y","y","n","n","y","plots with linear models","include","use O2 or net ecosystem metabolism as productivity measure (mean and SD reported for O2, plot for NEM), related to season and site but connectivity response is unclear","n","cross-section flow transects at upstream and downstream ends of site each season, ratio between base flow and stream discharge over 9-day period (represents the average period of hydrological imprint for carbon turnover within the reaches), apr 2013-feb 2014","y","include only if O2 is used in other studies"
"chl_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"exclude",NA,NA,"exclude, dissertation",NA,"dissertation"
"chl_14",NA,NA,NA,NA,NA,"USA",NA,"pond",NA,NA,"1000L mesocosm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"exclude","not about connectivity; examined the impact of temporary pond duration on frog larval development",NA,"exclude, population connectivity","N","connectivity; mentions population connectivity once in the conclusion"
"chl_23","lateral","d,a","n","n","unclear","Brazil","Parana River","lagoons",NA,NA,NA,"53º10’–53º40’W","22º35’–22º55’S","2000","Y","February, May, August, November","observational","Y","Y","N","N","Y","N","N","flood","N","binary, connected/disconnected","disconnected defined as isolated from the main river since March 1999 through study eriod; connected defined as permanently linke to the main river by channels. Connecting channels varried in length and size","connectivity, water temperature, depth, turbidity, pH, conductivity, dissolved oxygen, total nitrogen, total phosphorus, chlorophyll a, zooplankton density","fish species richness, density, and biomass; dissolved oxygen, total nitrogen, total phosphorus, chlorophyll a, zooplankton density","chl-a","unclear (provided by the Limnology and Zooplankton Laboratories of Nupelia, not collected by authors, so methods not included)",NA,NA,"zoop, fish assemblage","Y","standard error shown in figure",NA,"N","Y","ANOVA, DCA, PCA","include","chlorophyll not analyzed as a response","y","connected and disconnected lagoons sampled in feb, may, august, and nov. Connected lagoons were permenently link to main river. Disconnected lagoons were isolated throughout the stud period. Connectivity was not defined by distance, but authors discussed general differences in distance between different groups (i.e. ""disconnected lagoons were generally more distant from the main river channel (10-500m).","Y","includes relevant limnological and fish data, though is not focused on primary productivity"
