"","title","abstract","authors","article_type","pub_year","volume","database_id","database_type","reviewer_name","consistency_check","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes","ID"
"11","assessing the potential health risk of cyanobacteria and cyanotoxins in lake naivasha, kenya","This study discerned the causes of cyanobacteria blooms in Lake Naivasha (Kenya). We hypothesized that phytoplankton and cyanobacteria biomass respond to hydrologic cycles, peaking during the wet season, and that microcystin (MC) concentrations are highest following the bloom collapse. Hydrologic loading (inferred from rainfall and lake level changes) and phytoplankton responses in two basins of the lake were monitored over a wet season followed by a dry season between September 2010 and March 2011. Results show that both phytoplankton and cyanobacteria biomass peaked in both basins during the wet season, with associated peaks in particulate MC concentrations. Even though phytoplankton and cyanobacteria biomass were higher in the smaller deep basin, MC concentrations were lower than in the large shallow basin. The high-MC levels during the wet season were followed by a greater MC production per cyanobacteria biomass unit in the dry season in both basins. The timing of the cyanobacteria bloom suggests that its formation was likely controlled by large nutrient influxes from the contributing catchment to the lake associated with intense rainfall following an intense drought, posing a risk to the health of the community due to increased MC levels.","Raffoul, M. H.; Enanga, E. M.; Senar, O. E.; Creed, I. F.; Trick, C. G.","Scholarly Journals","2020","847","BIOSIS:PREV202000258289","wos","ES","PG","N","lake","Y","phytoplankton, cyanos","hydrologic cycle","N",NA,"chl_8"
"12","bacterioplankton from two hungarian danube river wetlands (beda-karapancsa, danube-drava national park) and its relations to environmental variables","Seasonal and spatial distribution of bacterioplankton from two Hungarian oxbow lake type wetlands, Mocskos-Danube and Riha, was studied. They were both covered by macrophytes and they had different hydrological connectivity to the Danube. The six sampling campaigns from April to October 2014 included parallel samples from the Danube River at Mohacs, Hungary. Bacterial abundance was the highest in spring and in Mocskos-Danube, followed by Mohacs and Riha. Positive relationships existed between bacterioplankton and temperature on one hand and suspended solids, pH, PO4-P and chl-a on the other. Negative correlations were with DOC, dissolved oxygen and NH4-N.","Kalcheva, Hristina; Dinka, Maria; Agoston-Szabo, Edit; Berczik, Arpad; Kalchev, Roumen; Tarjanyi, Nikolett; Kiss, Anita","Scholarly Journals","2016","18","BIOSIS:PREV201800624763","wos","PG","DC","n","oxbow lake wetlands","y","bacterioplankton, temperature, suspended solids, pH, PO4-P, chl-a , DOC, dissolved oxygen and NH4-N","unknown","y",NA,"chl_9"
"13","benthic algal response to hyporheic-surface water exchange in an alluvial river","We studied the response of benthic algae to points of hyporheic-surface water exchange in the main channel of the Middle Fork Flathead River within the Nyack Flood Plain, Montana. We examined hyporheic exchange at 120 sites using piezometers and measuring vertical hydraulic gradient (VHG), hydraulic conductivity, and vertical discharge. We removed benthic algae from a single cobble at each site, and we used VHG to group sampling sites for statistical analysis. Algal cell density and chlorophyll a concentration were significantly higher at sites with hyporheic discharge (+VHG, upwelling) compared to both sites with hyporheic recharge (-VHG, downwelling) and sites with no hyporheic-surface water exchange (=VHG, neutral) (ANOVA, P < 0.05). The assemblages of algae at upwelling sites were also significantly different from downwelling and neutral exchange sites (ANOSIM, P < 0.05). Filamentous green algae Stigeoclonium sp. and Zygnema sp. and a chrysophyte, Hydrurus foetidus (Villars) Trevisan were abundant at upwelling sites, whereas an assemblage of diatoms Achnanthidium minutissimum (Kutzing) Czarnecki, Cymbella excisa Kutzing, Diatoma moniliformis Kutzing, and Gomphonema olivaceoides Hustedt, were the most abundant taxa at downwelling and neutral exchange sites, occurring attached to, or in close association with the stalks of Didymosphenia geminata (Lyngbye) Schmidt. These data show that benthic algal communities are structured differently depending on the direction of hyporheic flux in the main channel of a large alluvial river, suggesting that hyporheic-surface exchange may influence the spatial distribution of main-channel benthic algae in rivers with hyporheic-surface water connectivity.","Wyatt, Kevin H.; Hauer, F. Richard; Pessoney, George F.","Scholarly Journals","2008","607","BIOSIS:PREV200800463272","wos","RP","MB","N","river","Y","chla","hyporheic exchange","N","hyporheic flow","chl_10"
"14","biological responses to recent eutrophication and hydrologic changes in xingyun lake, southwest china","NA","NA","NA","NA","NA","NA","NA","CP","NA","N","lake","Y","diatom and cladoceran assemblage","hydrological connectivity/hydrodynamics - uncertain","Y","long time scale connectivity","chl_11"
"15","changing characteristics and driving factors of trophic state of lakes in the middle and lower reaches of yangtze river in the past 30 years","NA","NA","NA","NA","NA","NA","NA","LY","NA","N ","lakes","Y","chl-a and other WQ","connected/not connected","N","abstract in English, rest in Chinese.  Could not find all-English copy.","chl_12"
"16","circulation patterns of biogenic ions in young glacial areas","NA","NA","NA","NA","NA","NA","NA","CP","NA","N","pond","Y","water quality","Ponds connected to river","Y","water quality, not productivity","chl_13"
"17","complex hydroperiod induced carryover responses for survival, growth, and endurance of a pond-breeding amphibian","Assessing carryover effects from the aquatic to the terrestrial stage of pond-breeding amphibians is critical as temperature and hydrologic regimes of temporary ponds continue to be altered as a result of climate change and other stressors. We evaluated carryover effects of hydroperiod length (50-62 days) on amphibian survival, developmental rates, and locomotor performance using a model organism, the wood frog (Rana sylvatica), through aquatic and terrestrial mesocosm experiments with individual tests of locomotor performance. We found that shorter hydroperiods (50 days) had low larval survival (0.44 ± 0.03) compared to the 62-day hydroperiod (0.91 ± 0.09) and increased developmental rates, resulting in smaller sizes at metamorphosis. We did not find evidence of carryover effects on terrestrial survival three months post-metamorphosis with all hydroperiod treatments showing high terrestrial survival (0.88 ± 0.07). However, post-metamorphic frogs from the longer hydroperiod treatments grew faster and larger compared to individuals from shortest hydroperiods and performed significantly better during endurance trials at 18 °C. Disentangling complex carryover effects across multiple life stages in species with high phenotypic plasticity can shed light on the physiological capacity of species to respond to changing environments and inform mechanistic predictions of persistence in the face of anthropogenic stressors.","Thompson, Cassandra M;Popescu, Viorel D","Scholarly Journals","2021","195","2494302612","proquest","PG","LY","n ","temporary ponds","y","amphibian survival, developmental rates, and locomotor performance (results in larval survival, developmental rates, sizes at metamorphosis, terrestrial survival, size and growth, three months post-metamorphosis)","hydroperiods length (days)","y","model organism, the wood frog (Rana sylvatica), through aquatic and terrestrial mesocosm experiments","chl_14"
"18","concerns about phytoplankton bloom trends in global lakes","","Feng, Lian;Dai, Yanhui;Hou, Xuejiao;Xu, Yang;Liu, Junguo;Zheng, Chunmiao","Other Sources","2021","590","2491064164","proquest","MB","LY","n","lake",NA,NA,NA,"n","Not relevant. Critique of a paper that used satellite remote sensing to calculate bloom intensity. Does not address connectivity.","chl_15"
"19","connectivity and habitat typology drive co2 and ch4 fluxes across land-water interfaces in lowland rivers","Lowland rivers are assumed to be a net source of carbon dioxide (CO2) and methane (CH4). However, little is known about the contribution of marginal permanent and temporary riverine aquatic systems to river carbon metabolism. Elevation, in relation to flooding, hydro-morphological, and ecological features of such habitats, can affect the gas fluxes across the water-atmosphere interfaces and the periodically air-exposed riverbeds. This hypothesis was investigated in the lowland sector of the Po River (Northern Italy) from May to September 2008. Five different aquatic habitats were considered: the main river course; a backwater habitat; and three lateral lentic waterbodies-an oxbow and two quarry lakes of different age. The water mass was always CO2 and CH4 supersaturated, and gas fluxes were from the water to the atmosphere. In the highly dynamic river course and backwaters, CO2 emission rates were nearly one order of magnitude greater than in the lentic and hypoxic oxbow and quarry lakes. By contrast, CH4 fluxes peaked in the lentic, deeper, and permanent water bodies. At sediment-atmosphere interfaces, the CO2 emissions increased along an organic matter, a water saturation, and a chlorophyll a gradient, attaining the maximum rates in the periodically air-exposed riverbed and marginal sandy sediments. These differences in gas fluxes resulted from either the submersion persistence or the alternation of submersion and emersion phases, which were ultimately due to the gap between elevation and river water variations. All this stresses the critical role of marginal aquatic habitats for river C budget.","Bolpagni, Rossano; Laini, Alex; Mutti, Tiziana; Viaroli, Pierluigi; Bartoli, Marco","Scholarly Journals","2019","12","BIOSIS:PREV201900212838","wos","PG","ES","n","main river,  backwater habitat; and three lateral lentic waterbodies-an oxbow and two quarry lakes of different age","y","sediment-atmosphere interfaces, CO2 emissions, organic matter, a water saturation, CO2, CH4and chlorophyll a","location","y",NA,"chl_16"
"20","connectivity and habitat typology drive co2</sub> and ch4</sub> fluxes across land–water interfaces in lowland rivers","Lowland rivers are assumed to be a net source of carbon dioxide (CO 2 ) and methane (CH 4 ). However, little is known about the contribution of marginal permanent and temporary riverine aquatic systems to river carbon metabolism. Elevation, in relation to flooding, hydro‐morphological, and ecological features of such habitats, can affect the gas fluxes across the water–atmosphere interfaces and the periodically air‐exposed riverbeds. This hypothesis was investigated in the lowland sector of the Po River (Northern Italy) from May to September 2008. Five different aquatic habitats were considered: the main river course; a backwater habitat; and three lateral lentic waterbodies—an oxbow and two quarry lakes of different age. The water mass was always CO 2 and CH 4 supersaturated, and gas fluxes were from the water to the atmosphere. In the highly dynamic river course and backwaters, CO 2 emission rates were nearly one order of magnitude greater than in the lentic and hypoxic oxbow and quarry lakes. By contrast, CH 4 fluxes peaked in the lentic, deeper, and permanent water bodies. At sediment–atmosphere interfaces, the CO 2 emissions increased along an organic matter, a water saturation, and a chlorophyll a gradient, attaining the maximum rates in the periodically air‐exposed riverbed and marginal sandy sediments. These differences in gas fluxes resulted from either the submersion persistence or the alternation of submersion and emersion phases, which were ultimately due to the gap between elevation and river water variations. All this stresses the critical role of marginal aquatic habitats for river C budget.","Rossano Bolpagni;Laini, Alex;Mutti, Tiziana;Viaroli, Pierluigi;Bartoli, Marco","Scholarly Journals","2019","12","2162166182","proquest","ES","PG","Y","lower river, estuary","Y","CO2, CH4","OM, Chl-a, water sat.","N",NA,"chl_16"
"21","contrasts between channels and backwaters in a large, floodplain river: testing our understanding of nutrient cycling, phytoplankton abundance, and suspended solids dynamics","In floodplain rivers, variability in hydraulic connectivity interacts with biogeochemistry to determine the distribution of suspended and dissolved substances. Nutrient, chlorophyll a, and suspended solids data spanning longitudinal (5 study reaches across 1300 river km), lateral (main channel and backwaters), and temporal (1994-2011) gradients in the Upper Mississippi River (UMR) were used to examine the extent to which observed differences between the main channel and backwaters were consistent with expectations based on current understanding of biogeochemical processes in large rivers. For N and P, the results largely conformed to expectations. N concentrations were greater in the main channel than in the backwaters in 82 to 96% of the observations across river reaches. Maximum TP concentrations generally occurred in backwaters during summer, when backwater TP often exceeded that of the main channel. Flux of P from sediments may be a substantial source of water-column P in UMR backwaters in summer. The data for suspended solids and chlorophyll a suggest that some refinements are needed of our understanding of ecosystem processes in large rivers. During low-discharge conditions, concentrations of inorganic suspended solids often were greater in backwaters than in the main channel, suggesting the importance of sediment resuspension. Chlorophyll a concentrations were usually greater in backwaters than in the main channel, but exceptions indicate that phytoplankton abundance in the main channel of the UMR can sometimes be greater than is typically expected for large rivers.","Houser, Jeffrey N.","Scholarly Journals","2016","35","BIOSIS:PREV201600572060","wos","PG","ES","n","river-floodplain","y","Nutrient, chlorophyll a, and suspended solids","main channel and backwaters","y",NA,"chl_17"
"22","correlates of zooplankton beta diversity in tropical lake systems","NA","NA","NA","NA","NA","NA","NA","CP","NA","N","(floodplain) lakes and ponds","Y","zooplankton beta diversity","hydrologic connectivity, disturbance - uncertain, but mentions connected vs not connected systems, dryout periods","Y","zooplankton, not chlorophyll/phyto","chl_18"
"23","do environmental variables predict the trophic structure of fish fauna in a subtropical river (uruguay river ecoregion)?","Trophic interactions represent the routes through which energy flows upwards within ecosystems and the understanding of such structuring under varying environmental conditions is still challenging. Here we test the hypothesis that differences in environmental variables act as environmental filters on the composition and trophic structure of local the fish fauna of a subtropical mountain river. We predict that differences in the trophic structure of the fish fauna occur along the river continuum. Main environmental parameters have been measured and fishes were sampled quarterly between August 2013 and May 2014 at six sampling sites in the main channel of the Pelotas River, Upper Uruguay ecoregion. We collected 3848 individuals belonging to 38 species, 4 orders and 11 families. The most (82.1%) consisted of small- and medium-sized individuals. The species were classified into eight trophic guilds: aquatic insectivorous, carnivorous, detritivorous, detritivorous/aquatic insectivorous, herbivorous, iliophagous, omnivorous and piscivorous. In general, herbivorous and piscivorous guilds were the most representative in both number and biomass. Significant differences detected by Permanova were for richness, numerical abundance and biomass between all the sites sampled. Relationships between the environmental variables and the composition of trophic guilds were observed along the longitudinal gradient by RLQ and fourth-corner analyses. The abundance of guilds omnivorous, aquatic insectivorous and herbivorous increases with higher values of chlorophyll- a and vegetation cover, especially characterizing the upstream sites (S1, S2 and S3). On the other hand, the abundance of the iliophagous, detritivorous/insectivorous and piscivorous guilds increases with greater values of width, temperature, inorganic phosphorus and total solids, a fact observed in downstream sites (S4, S5 and S6). Thus, it was possible to identify a clear variation in the trophic structure of the fish fauna along the Pelotas River (upstream-downstream), in which the local variables were efficient in predicting environmental filters that influence the trophic organization. In this scenario, our study follows the longitudinal model and evidences a greater accumulation of energy in food webs in the upstream-downstream direction, which favors the greatest abundance of piscivorous, detritivorous and iliophagous verified in stretches of greater volume and dimensions of river. These results highlight the importance of the local variables and the interrelationships in the lateral connectivity processes along the river continuum.","Neves, Mayara P;Baumgartner, Dirceu;Baumgartner, Gilmar;Delariva, Rosilene L","Scholarly Journals","2018","77","2417690740","proquest","check","DC","n","river","y","fish abundance, richness, biomass, and composition ","none","y","","chl_19"
"24","do environmental variables predict the trophic structure of fish fauna in a subtropical river (uruguay river ecoregion)?","Trophic interactions represent the routes through which energy flows upwards within ecosystems and the understanding of such structuring under varying environmental conditions is still challenging. Here we test the hypothesis that differences in environmental variables act as environmental filters on the composition and trophic structure of local the fish fauna of a subtropical mountain river. We predict that differences in the trophic structure of the fish fauna occur along the river continuum. Main environmental parameters have been measured and fishes were sampled quarterly between August 2013 and May 2014 at six sampling sites in the main channel of the Pelotas River, Upper Uruguay ecoregion. We collected 3848 individuals belonging to 38 species, 4 orders and 11 families. The most (82.1%) consisted of small- and medium-sized individuals. The species were classified into eight trophic guilds: aquatic insectivorous, carnivorous, detritivorous, detritivorous/aquatic insectivorous, herbivorous, iliophagous, omnivorous and piscivorous. In general, herbivorous and piscivorous guilds were the most representative in both number and biomass. Significant differences detected by Permanova were for richness, numerical abundance and biomass between all the sites sampled. Relationships between the environmental variables and the composition of trophic guilds were observed along the longitudinal gradient by RLQ and fourth-corner analyses. The abundance of guilds omnivorous, aquatic insectivorous and herbivorous increases with higher values of chlorophyll- a and vegetation cover, especially characterizing the upstream sites (S1, S2 and S3). On the other hand, the abundance of the iliophagous, detritivorous/insectivorous and piscivorous guilds increases with greater values of width, temperature, inorganic phosphorus and total solids, a fact observed in downstream sites (S4, S5 and S6). Thus, it was possible to identify a clear variation in the trophic structure of the fish fauna along the Pelotas River (upstream-downstream), in which the local variables were efficient in predicting environmental filters that influence the trophic organization. In this scenario, our study follows the longitudinal model and evidences a greater accumulation of energy in food webs in the upstream-downstream direction, which favors the greatest abundance of piscivorous, detritivorous and iliophagous verified in stretches of greater volume and dimensions of river. These results highlight the importance of the local variables and the interrelationships in the lateral connectivity processes along the river continuum.","Neves, Mayara P;Baumgartner, Dirceu;Baumgartner, Gilmar;Delariva, Rosilene L","Scholarly Journals","2018","77","2417690740","proquest","MB","DC","n","river","y","fish abundance, richness, biomass, and composition of trophic guilds","none","y","The abstract mentions that results demonstrate the importance of ""interrelationships in lateral connectivity processes"", but no other reference to connectivity.","chl_19"
"25","effects of flow variation on channel and floodplain biota and habitats of the sacramento river, california, usa","NA","NA","NA","NA","NA","NA","NA","CP","NA","N","floodplain vs river","Y","chlorophyll a, copepod and cladoceran density, hydrologic variables","floodplain vs river","Y","no real connectivity metric","chl_20"
"26","effects of lake-basin morphological and hydrological characteristics on the eutrophication of shallow lakes in eastern china","NA","NA","NA","NA","NA","NA","NA","LY","NA","N ","lakes and rivers","Y"," chl-a","connected/not connected with river","Y","Lake eutrophication reduced with connectivity to river","chl_21"
"27","factors influencing algal biomass in intermittently connected, subtropical coastal ponds","Microalgae may contribute more to salt marsh productivity than realized, underscoring the importance of understanding algal dynamics in such systems. Benthic and planktonic chlorophyll-a (surrogate for total algal biomass), sediment ash-free dry weight, total suspended solids, salinity, and nutrients were examined in intermittently connected marsh ponds in the subtropical Guadalupe Estuary, Texas, USA to determine the effects of hydrologic connections on algal biomass in this system. From May 2005 to May 2006, several high water events resulting in surface water connections between ponds and nearby tidal creeks occurred, followed by disconnection and, at times, pond desiccation. During periods of disconnection, algal biomass was higher in both the benthos and the water column than during connection events when flushing occurred. Since connection events did not increase NOx, the primary source of dissolved inorganic nitrogen seemed to be nutrient cycling within the ponds. Data at the aggregated level, i.e., chlorophyll-a, indicated this system followed the flood pulse concept. During high water events, algal biomass may be exported to supplement the tidal creek food web (aquatic), whereas during low water events accumulated biomass within the ponds feed the marsh food web (terrestrial), which includes blue crabs (Callinectes sapidus) and the whooping crane (Grus americana).","Miller, Carrie J;Davis, Stephen E;Roelke, Daniel L;Li, Hsiu-Ping;Driffill, Matthew J","Scholarly Journals","2009","29","21126083","proquest","RP","CP","N","lake","Y","chla","not provided","Y","salt marsh ponds","chl_22"
