"","X","ID","reviewer","summarized_by","connectivity_categorical","connectivity_quanitative","season_month","year","mean_chl","min_chl","max_chl","error_chl","error_type","sample_size","units","notes"
"20",24,"pro_55","PG","1997","isolated",NA,"mid to late-July","1997",8.5,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"21",25,"pro_55","PG","1998","isolated",NA,"mid to late-July","1998",1.6,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"22",26,"pro_55","PG","1999","isolated",NA,"mid to late-July","1999",2.4,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"23",27,"pro_55","PG","2000","isolated",NA,"mid to late-July","2000",3.4,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"24",28,"pro_55","PG","2001","isolated",NA,"mid to late-July","2001",5.5,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"25",29,"pro_55","PG","2002","isolated",NA,"mid to late-July","2002",5.2,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"26",30,"pro_55","PG","2005","isolated",NA,"mid to late-July","2005",2.9,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"27",31,"pro_55","PG","2006","isolated",NA,"mid to late-July","2006",5.5,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"28",32,"pro_55","PG","2009","isolated",NA,"mid to late-July","2009",2.8,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"29",33,"pro_55","PG","2010","isolated",NA,"mid to late-July","2010",2.9,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
"30",34,"chl_49","PG","Gaoyou","connected","146","April, May","2017",19.21,NA,NA,6.21,"sd","8","ug/L","Lakes, distance from start of water diversion in km, April-May was during the water transfer period"
"31",35,"chl_49","PG","Hongze","connected","301","April, May","2017",22.98,NA,NA,6.51,"sd","13","ug/L","Lakes, distance from start of water diversion in km, April-May was during the water transfer period"
"32",36,"chl_49","PG","Luoma","connected","427","April, May","2017",9.47,NA,NA,1.64,"sd","6","ug/L","Lakes, distance from start of water diversion in km, April-May was during the water transfer period"
"33",37,"chl_49","PG","Nansi","connected","622","April, May","2017",6.3,NA,NA,4.18,"sd","11","ug/L","Lakes, distance from start of water diversion in km, April-May was during the water transfer period"
"34",38,"chl_49","PG","Dongping","connected","764","April, May","2017",10.66,NA,NA,5.48,"sd","8","ug/L","Lakes, distance from start of water diversion in km, April-May was during the water transfer period"
"35",39,"chl_4","LY","Isolation","isolated?"," <1.67 m; lentic conditions","spring, summer, fall","2006, 2007, 2008",56,NA,NA,28.8,"sd","18","ug/L","from table, also has water depth, nitrite, nitrate "
"36",40,"chl_4","LY","Flow pulse","connected?","> 1.67 m rising and falling limb of the hydrograph; semilotic or lotic conditions","spring, summer, fall","2006, 2007, 2009",27.6,NA,NA,18.9,"sd","24","ug/L","from table, also has water depth, nitrite, nitrate "
"37",41,"chl_4","LY","Flood pulse","connected?",">3 m; lotic conditions","spring, summer, fall","2006, 2007, 2010",14.8,NA,NA,14.8,"sd","14","ug/L","from table, also has water depth, nitrite, nitrate "
"38",42,"chl_36","LY","High water - Mainstem river","connected?",NA,"June","2009",1.7,0.5,3,0.92,"sd",NA,"ug/L","from table"
"39",43,"chl_36","LY","High water - Floodplain Lakes","connected?",NA,"June","2009",1.82,0.9,2.5,0.4,"sd",NA,"ug/L","from table"
"40",44,"chl_36","LY","Low water - Mainstem river","semi isolated?",NA,"October","2009",4.83,1.7,9.8,0.9,"sd",NA,"ug/L","from table"
"41",45,"chl_36","LY","Low water - Floodplain Lakes","semi isolated?",NA,"October","2009",32.74,9.3,73.7,0.78,"sd",NA,"ug/L","from table"
"42",46,"chl_55","LY","San Isidro","connected lake",NA,"dry","2015",27.4,NA,NA,4.8,"sd","9","ug/L","from table"
"43",47,"chl_55","LY","San Isidro","connected lake",NA,"early rainy","2015",6.9,NA,NA,0.9,"sd","9","ug/L","from table"
"44",48,"chl_55","LY","San Isidro","connected lake",NA,"late rainy","2015",4.6,NA,NA,1.3,"sd","9","ug/L","from table"
"45",49,"chl_55","LY","San Pedrito","connected lake",NA,"dry","2015",13.3,NA,NA,4.8,"sd","12","ug/L","from table"
"46",50,"chl_55","LY","San Pedrito","connected lake",NA,"early rainy","2015",8,NA,NA,4.7,"sd","12","ug/L","from table"
"47",51,"chl_55","LY","San Pedrito","connected lake",NA,"late rainy","2015",12.3,NA,NA,1.4,"sd","12","ug/L","from table"
"48",52,"chl_55","LY","Canitzan","isolated lake",NA,"dry","2015",214,NA,NA,29.3,"sd","9","ug/L","from table"
"49",53,"chl_55","LY","Canitzan","isolated lake",NA,"early rainy","2015",233.4,NA,NA,18.9,"sd","9","ug/L","from table"
"50",54,"chl_55","LY","Canitzan","isolated lake",NA,"late rainy","2015",181.3,NA,NA,39.9,"sd","9","ug/L","from table"
"51",55,"chl_55","LY","Nueva Esperanza","isolated lake",NA,"dry","2015",165.4,NA,NA,59.2,"sd","9","ug/L","from table"
"52",56,"chl_55","LY","Nueva Esperanza","isolated lake",NA,"early rainy","2015",215.9,NA,NA,58.6,"sd","9","ug/L","from table"
"53",57,"chl_55","LY","Nueva Esperanza","isolated lake",NA,"late rainy","2015",326.6,NA,NA,51.4,"sd","9","ug/L","from table"
"54",58,"chl_63","LY","Middle Parana River main channel","connected river","> 5m, > 3.4m, < 3.4m (respectively, see season_month)","extreme high water (December 2009-March 2010),  ordinary high water (March-June 2010), low water (June 2010-December 2010)","2009, 2010",1.6,0,6.5,NA,NA,NA,"ug/L","from table, they have it separated by season only in a figure"
"55",59,"chl_63","LY","Mini Stream","connected stream","> 5m, > 3.4m, < 3.4m (respectively, see season_month)","extreme high water (December 2009-March 2010),  ordinary high water (March-June 2010), low water (June 2010-December 2010)","2009, 2010",2.8,0.8,7.4,NA,NA,NA,"ug/L","from table, they have it separated by season only in a figure"
"56",60,"chl_63","LY","Mini Lake","connected lake to main channel","> 5m, > 3.4m, < 3.4m (respectively, see season_month)","extreme high water (December 2009-March 2010),  ordinary high water (March-June 2010), low water (June 2010-December 2010)","2009, 2010",3.6,1.3,8.6,NA,NA,NA,"ug/L","from table, they have it separated by season only in a figure"
"57",61,"chl_63","LY","Irupe Lake","connected lake to Mini Stream (but generally more isolated)","> 5m, > 3.4m, < 3.4m (respectively, see season_month)","extreme high water (December 2009-March 2010),  ordinary high water (March-June 2010), low water (June 2010-December 2010)","2009, 2010",5.7,0.8,13.6,NA,NA,NA,"ug/L","from table, they have it separated by season only in a figure"
"58",62,"pro_67","LY","Isolated river - year 1","Isolated river","","fall, winter, spring, summer","2003, 2004",2,NA,NA,1,"sd",NA,"ug/L","from table, sample size could likely be calculated from weekly sampling Nov 2003-Oct 2004 (see Fig. 4)"
"59",63,"pro_67","LY","Isolated river - year 2","Isolated river","","fall, winter, spring, summer","2004, 2005",6,NA,NA,6,"sd",NA,"ug/L","from table, sample size could likely be calculated from monthly sampling Oct 2004-Sept 2005 (see Fig. 4)"
"60",64,"pro_67","LY","Isolated wetland - year 1","Isolated wetland","","fall, winter, spring, summer","2003, 2004",36,NA,NA,51,"sd",NA,"ug/L","from table, sample size could likely be calculated from weekly sampling Nov 2003-Oct 2004 (see Fig. 4)"
"61",65,"pro_67","LY","Isolated wetland - year 2","Isolated wetland","","fall, winter, spring, summer","2004, 2005",76,NA,NA,91,"sd",NA,"ug/L","from table, sample size could likely be calculated from monthly sampling Oct 2004-Sept 2005 (see Fig. 4)"
"62",66,"pro_67","LY","Connected river, long/high flood ","","hourly wetland water depth during flooding: >1.4m-peak at 3.3m ","winter, spring (January-April)","2004",3,NA,NA,3,"sd",NA,"ug/L","from table, sample size could likely be calculated from monthly sampling during flood event(see Fig. 4)"
"63",67,"pro_67","LY","Connected river, short/low flood ","","hourly wetland water depth during flooding: up to 1.3m","winter (February)","2005",3,NA,NA,NA,NA,NA,"ug/L","from table, only one sample during 2005 flood events"
"64",68,"pro_67","LY","Connected river, short/high flood ","","hourly wetland water depth during flooding: peak at 2.9m","spring (April)","2005",4,NA,NA,NA,NA,NA,"ug/L","from table, only one sample during 2005 flood events"
"65",69,"pro_67","LY","Connected wetland, long/high flood ","","hourly wetland water depth during flooding: >1.4m-peak at 3.3m ","winter, spring (January-April)","2004",20,NA,NA,23,"sd",NA,"ug/L","from table, sample size could likely be calculated from monthly sampling during flood event(see Fig. 4)"
"66",70,"pro_67","LY","Connected wetland, short/low flood ","","hourly wetland water depth during flooding: up to 1.3m","winter (February)","2005",117,NA,NA,NA,NA,NA,"ug/L","from table, only one sample during 2005 flood events"
"67",71,"pro_67","LY","Connected wetland, short/high flood ","","hourly wetland water depth during flooding: peak at 2.9m","spring (April)","2005",7,NA,NA,NA,NA,NA,"ug/L","from table, only one sample during 2005 flood events"
"68",76,"chl_3","CP","Lake-low water","isolated",NA,"2009: November, December. 2010: August, September","2009-2010",118.68,10.48,2061.29,NA,NA,"38","ug/L","in table, which also indicates which differences are significant"
"69",77,"chl_3","CP","Channel-low water","connected",NA,"2009: November, December. 2010: August, September","2009-2010",198.65,23.3,2589.23,NA,NA,"45","ug/L","in table, which also indicates which differences are significant"
"70",78,"chl_3","CP","Ressaca-low water","isolated or dry",NA,"2009: November, December. 2010: August, September","2009-2010",86.99,15.42,262.74,NA,NA,"14","ug/L","in table, which also indicates which differences are significant"
"71",79,"chl_3","CP","Lake-high water","connected",NA,"May, June","2009",0.34,0.16,0.81,NA,NA,"14","ug/L","in table, which also indicates which differences are significant"
"72",80,"chl_3","CP","Channel-high water","connected",NA,"May, June","2009",0.26,0.11,0.38,NA,NA,"17","ug/L","in table, which also indicates which differences are significant"
"73",81,"chl_3","CP","Ressaca-high water","connected",NA,"May, June","2009",0.26,0.13,0.56,NA,NA,"10","ug/L","in table, which also indicates which differences are significant"
"74",82,"chl_35","CP","P1 (channel)","connected",NA,"winter, spring, summer, autumn","1995-1996",10,0.34,50.6,NA,NA,"18","ug/L","paper also includes a value for annual flux and annual load of algal biomass (labeled as chlorophyll a)"
"75",83,"chl_35","CP","P3 (floodplain)","disconnected",NA,"winter, spring, summer, autumn","1995-1996",24.5,2,37.8,NA,NA,"26","ug/L","paper also includes a value for annual flux and annual load of algal biomass (labeled as chlorophyll a)"
"76",84,"chl_35","CP","High discharge (>3000 m^3s-1)","connected",NA,"winter, spring, summer, autumn","1995-1996",5.4,NA,NA,4.7,"SD",NA,"ug/L","paper also includes a value for annual flux and annual load of algal biomass (labeled as chlorophyll a)"
"77",85,"chl_35","CP","Low discharge (<1500)","disconnected",NA,"winter, spring, summer, autumn","1995-1996",11.9,NA,NA,8.5,"SD",NA,"ug/L","paper also includes a value for annual flux and annual load of algal biomass (labeled as chlorophyll a)"
"78",88,"chl_62","CP","Short Flow path length (Ca + Mg < 65.2mg)","disconnected",NA,"July-August","1984-1991, 1993-1994, 1997-2003",15.6,NA,NA,NA,NA,"34","ug/L","median, not mean. Flow path length represents groundwater connectivity. Analysis is regression tree, and these numbers indicate where the split happened."
"79",89,"chl_62","CP","Long Flow path length (Ca + Mg > 65.2mg)","connected",NA,"July-August","1984-1991, 1993-1994, 1997-2003",67.4,NA,NA,NA,NA,"6","ug/L","median, not mean. Flow path length represents groundwater connectivity. Analysis is regression tree, and these numbers indicate where the split happened."
"80",90,"chl_62","CP","≥13.3% Wetland","connected",NA,"July-August","1984-1991, 1993-1994, 1997-2003",12.9,NA,NA,NA,NA,"20","ug/L","median, not mean. Analysis is regression tree, and these numbers indicate where the split happened. Most applicable to situations in which Ca+Mg was low."
"81",91,"chl_62","CP","<13.3% Wetland","disconnected",NA,"July-August","1984-1991, 1993-1994, 1997-2003",20.5,NA,NA,NA,NA,"14","ug/L","median, not mean. Analysis is regression tree, and these numbers indicate where the split happened. Most applicable to situations in which Ca+Mg was low."
"82",92,"chl_62","CP","Isolated lakes","isolated",NA,"July-August","1984-1991, 1993-1994, 1997-2003",31.5,NA,NA,NA,NA,"2","ug/L","median, not mean. Analysis is regression tree, and these numbers indicate where the split happened. Most applicable to situations in which Ca+Mg was high."
"83",93,"chl_62","CP","Connected lakes","connected",NA,"July-August","1984-1991, 1993-1994, 1997-2003",98.5,NA,NA,NA,NA,"4","ug/L","median, not mean. Analysis is regression tree, and these numbers indicate where the split happened.  Most applicable to situations in which Ca+Mg was high."
"84",112,"chl_51","RP","congo river mainstem","high water",NA,"Dec","2013",0.84,0.1,1.77,NA,NA,"34","ug/L","see table 1"
"85",113,"chl_51","RP","congo river mainstem","falling water",NA,"Jun","2014",3.98,1.13,7.68,NA,NA,"34","ug/L","see table 1"
"86",114,"chl_51","RP","congo river tribs and lakes","high water",NA,"Dec","2013",0.44,0,3.58,NA,NA,"41","ug/L","see table 1"
"87",115,"chl_51","RP","congo river tribs and lakes","falling water",NA,"Jun","2014",0.85,0.01,6.39,NA,NA,"55","ug/L","see table 1"
"88",116,"chl_60","RP","Great Lakes",NA,"water mass distribution map with AEM modeling","Aug ","2006",2.22,NA,NA,1.03,"SD","20","ug/L","Table 3"
"89",117,"chl_60","RP","trib-lake mixing zones",NA,"water mass distribution map with AEM modeling","Aug ","2006",3.36,NA,NA,1.73,"SD","17","ug/L","Table 3"
"90",118,"chl_60","RP","Great Lake tributaries",NA,"water mass distribution map with AEM modeling","Aug ","2006",8.94,NA,NA,14.51,"SD","7","ug/L","Table 3"
"91",132,"r2_02","MB","season","connected",NA,"early summer","2016",1.5,NA,NA,0.89,"sd",NA,"ug/L","season was corrlated in changes in connectivity with the landscape, with reduced runn off and connectivity later in the summer, dataset is published and available"
"92",133,"r2_02","MB","season","disconnected",NA,"late summer","2016",5.9,NA,NA,5.92,"sd",NA,"ug/L","season was corrlated in changes in connectivity with the landscape, with reduced runn off and connectivity later in the summer, dataset is published and available"
"93",134,"r2_03","MB","urban","disconnected",NA,"April, July, October, January","2019, 2020",37.21,NA,NA,4.56,"se",NA,"ug/L","from table 1, more chlorophyll data available by urban/suburban and month in bar plots and scatter plots; chlorophyll means and ranges for each samplin location available in the supplemental data, connectivity status is confounded by urbanization"
"94",135,"r2_03","MB","suburban","connected",NA,"April","2019, 2020",25.68,NA,NA,3.68,"se",NA,"ug/L","from table 1, more chlorophyll data available by urban/suburban and month in bar plots and scatter plots; chlorophyll means and ranges for each samplin location available in the supplemental data, connectivity status is confounded by urbanization"
"95",137,"r2_07","MB","Station 1 C1","connected",NA,"February, March, April, May, June, July, August, September, October, November, December, January","2018, 2019",2.33,NA,NA,1.91,"sd",NA,"ppb","from table 3"
"96",138,"r2_07","MB","Station 2 P2","connected",NA,"February, March, April, May, June, July, August, September, October, November, December, January","2018, 2019",2.19,NA,NA,1.53,"sd",NA,"ppb","from table 3"
"97",139,"r2_07","MB","Station 3 B3","connected",NA,"February, March, April, May, June, July, August, September, October, November, December, January","2018, 2019",2.79,NA,NA,2.59,"sd",NA,"ppb","from table 3"
"98",140,"r2_07","MB","Station 1 K1","disconnected",NA,"February, March, April, May, June, July, August, September, October, November, December, January","2018, 2019",7.56,NA,NA,7.11,"sd",NA,"ppb","from table 3"
"99",141,"r2_07","MB","Station 2 K2","disconnected",NA,"February, March, April, May, June, July, August, September, October, November, December, January","2018, 2019",10.91,NA,NA,10.96,"sd",NA,"ppb","from table 3"
"100",142,"r2_07","MB","Station 3 K3","disconnected",NA,"February, March, April, May, June, July, August, September, October, November, December, January","2018, 2019",8.92,NA,NA,8.15,"sd",NA,"ppb","from table 3"
"101",143,"chl_16","DC","po main course, light","connected","n","may through september","2008",4.1,NA,NA,2.9,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"102",144,"chl_16","DC","po main course, dark","connected","n","may through september","2008",4.8,NA,NA,2.4,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"103",145,"chl_16","DC","lp backwater, light","disconnected","n","may through september","2008",12.1,NA,NA,16,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"104",146,"chl_16","DC","lp backwater, dark","disconnected","n","may through september","2008",8.5,NA,NA,9.9,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"105",147,"chl_16","DC","bl lateral light","partially connected","n","may through september","2008",1.8,NA,NA,0.6,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"106",148,"chl_16","DC","bl lateral dark","partially connected","n","may through september","2008",1.3,NA,NA,0.6,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"107",149,"chl_16","DC","lg lateral light","partially connected","n","may through september","2008",3.8,NA,NA,1.3,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"108",150,"chl_16","DC","lg lateral dark","partially connected","n","may through september","2008",2.8,NA,NA,1.7,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"109",151,"chl_16","DC","la backwater light","partially connected","n","may through september","2008",13.4,NA,NA,7,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"110",152,"chl_16","DC","la backwater dark","partially connected","n","may through september","2008",7.4,NA,NA,5,"sd","na","ug/l","light measurements collected between 1000 and 1400, dark collected between 0100 and 0400"
"111",153,"chl_27","DC","reference","na","n","february and march","2007",0.878,NA,NA,0.237,"sd","24","mg/m2/day","these data refer to disturbed vs. reference, but connectivity is not specified, so may not be able to include"
"112",154,"chl_27","DC","disturbed","na","n","february and march","2007",1.5,NA,NA,0.563,"sd","15","mg/m2/day","these data refer to disturbed vs. reference, but connectivity is not specified, so may not be able to include"
"113",155,"chl_6","DC","ol 1 stable","less connected","n","september and november ","2006",9.48,3.26,15.69,NA,"","6","ug/l","flood and stable states, connectivity is implied by flood but not clearly defined"
"114",156,"chl_6","DC","ol 1 flood 1","more connected","n","february","2007",7.29,0.72,0.72,NA,"","19","ug/l","flood and stable states, connectivity is implied by flood but not clearly defined"
"115",157,"chl_6","DC","ol 2 stable","less connected","n","september and november ","2006",12.96,1.03,24.88,NA,"","6","ug/l","flood and stable states, connectivity is implied by flood but not clearly defined"
"116",158,"chl_6","DC","ol 2 flood 1","more connected","n","february","2007",6.11,0,10.13,NA,"","26","ug/l","flood and stable states, connectivity is implied by flood but not clearly defined"
"117",160,"chl_19","DC","s1 ","upstream","n","quarterly, august 13 to may 14","2013, 2014",1.4,NA,NA,1.5,"sd","na","","connectivity is not clearly defined in the paper, sites are listed in order starting upstream and moving downstream"
"118",161,"chl_19","DC","s2 ","upstream","n","quarterly, august 13 to may 14","2013, 2014",0.7,NA,NA,1.1,"sd","na","","connectivity is not clearly defined in the paper, sites are listed in order starting upstream and moving downstream"
"119",162,"chl_19","DC","s3 ","upstream","n","quarterly, august 13 to may 14","2013, 2014",0.5,NA,NA,0.2,"sd","na","","connectivity is not clearly defined in the paper, sites are listed in order starting downstream and moving downstream"
"120",163,"chl_19","DC","s4 ","downstream","n","quarterly, august 13 to may 14","2013, 2014",0.1,NA,NA,0.2,"sd","na","","connectivity is not clearly defined in the paper, sites are listed in order starting downstream and moving downstream"
"121",164,"chl_19","DC","s5","downstream","n","quarterly, august 13 to may 14","2013, 2014",0.8,NA,NA,0.8,"sd","na","","connectivity is not clearly defined in the paper, sites are listed in order starting downstream and moving downstream"
"122",165,"chl_19","DC","s6","downstream","n","quarterly, august 13 to may 14","2013, 2014",0.6,NA,NA,0.7,"sd","na","","connectivity is not clearly defined in the paper, sites are listed in order starting downstream and moving downstream"
"123",167,"chl_32","ES","Arc","connected","surface water-chemistry trajectory category 1","June","2010",1.5,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"124",168,"chl_32","ES","Box","disconnected","surface water-chemistry trajectory category 1","June","2010",2.4,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"125",169,"chl_32","ES","Coast P. ","disconnected","surface water-chemistry trajectory category 1","June","2010",2.36,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"126",170,"chl_32","ES","Godwit","connected","surface water-chemistry trajectory category 1","June","2010",1.5,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"127",171,"chl_32","ES","Left","disconnected","surface water-chemistry trajectory category 1","June","2010",2.2,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"128",172,"chl_32","ES","Notch","disconnected","surface water-chemistry trajectory category 1","June","2010",0.6,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"129",173,"chl_32","ES","Plugged","disconnected","surface water-chemistry trajectory category 1","June","2010",1.6,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"130",174,"chl_32","ES","Recover","disconnected","surface water-chemistry trajectory category 1","June","2010",0.7,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"131",175,"chl_32","ES","Golf","connected","surface water-chemistry trajectory category 2","June","2010",0.6,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 2"
"132",176,"chl_32","ES","Island","disconnected","surface water-chemistry trajectory category 2","June","2010",1.4,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 2"
"133",177,"chl_32","ES","Larch","connected","surface water-chemistry trajectory category 2","June","2010",2.2,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 2"
"134",178,"chl_32","ES","Lumpy","disconnected","surface water-chemistry trajectory category 2","June","2010",1.3,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 2"
"135",179,"chl_32","ES","Orange ","connected","surface water-chemistry trajectory category 2","June","2010",0.5,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 2"
"136",180,"chl_32","ES","Swept","connected","surface water-chemistry trajectory category 2","June","2010",0.7,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 2"
"137",181,"chl_32","ES","Erin","connected","surface water-chemistry trajectory category 3","June","2010",1,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 3"
"138",182,"chl_32","ES","Some","disconnected","surface water-chemistry trajectory category 3","June","2010",1,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 3"
"139",183,"chl_32","ES","Strange","connected","surface water-chemistry trajectory category 3","June","2010",0.9,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 3"
"140",184,"chl_32","ES","Coast L.","connected","surface water-chemistry trajectory category 4","June","2010",0.47,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 4"
"141",185,"chl_32","ES","Homer","disconnected","surface water-chemistry trajectory category 4","June","2010",1.5,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 4"
"142",186,"chl_32","ES","Serene","connected","surface water-chemistry trajectory category 4","June","2010",3.1,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 4"
"143",187,"chl_32","ES","Arc","connected","surface water-chemistry trajectory category 1","July","2010",2.4,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"144",188,"chl_32","ES","Box","disconnected","surface water-chemistry trajectory category 1","July","2010",1.1,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"145",189,"chl_32","ES","Coast P. ","disconnected","surface water-chemistry trajectory category 1","July","2010",1,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"146",190,"chl_32","ES","Godwit","connected","surface water-chemistry trajectory category 1","July","2010",1,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
"147",191,"chl_32","ES","Left","disconnected","surface water-chemistry trajectory category 1","July","2010",0.3,NA,NA,NA,NA,"1","μg L–1","surface water-chemistry trajectory 1"
